source_id,Teff,e_Teff,logg,e_logg,__Fe_H_,e__Fe_H_,__M_H_,e__M_H_,__a_M_,e__a_M_,__C_Fe_,e__C_Fe_,__N_Fe_,e__N_Fe_,__O_Fe_,e__O_Fe_,__Mg_Fe_,e__Mg_Fe_,__Al_Fe_,e__Al_Fe_,__Si_Fe_,e__Si_Fe_,__Ca_Fe_,e__Ca_Fe_,__Ti_Fe_,e__Ti_Fe_,__Mn_Fe_,e__Mn_Fe_,__Ni_Fe_,e__Ni_Fe_,__Ce_Fe_,e__Ce_Fe_
1090925339612868736,4327.4,7.0,1.363,0.029,-0.6989,0.0096,-0.73,0.0084,0.0414,0.0079,-0.3933,0.0157,-0.055,0.0182,0.0665,0.0147,-0.006,0.015,-0.3402,0.0218,0.0019,0.0163,0.0379,0.0188,-0.1987,0.0216,-0.2542,0.0202,-0.1566,0.0159,-0.0339,0.0448
1118926121200749440,5034.1,17.5,2.288,0.04,-0.6784,0.0119,-0.6929,0.0109,0.1855,0.0127,-0.1893,0.0365,0.335,0.0384,0.3467,0.0495,0.2223,0.0217,0.0854,0.034,0.1544,0.0262,0.0654,0.0315,,,-0.2054,0.0317,-0.1061,0.0268,-1.7124,0.1513
1139360476084336640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1159466141412768640,5859.0,51.5,4.353,0.046,-0.7652,0.0132,-0.7686,0.012,0.2459,0.1507,0.2759,0.0955,0.4899,0.088,0.4067,0.1569,0.3411,0.0211,0.1616,0.0234,0.3,0.0221,0.1258,0.0286,-0.0667,0.1421,-0.2756,0.0407,-0.1198,0.0292,,
1161846107346475648,4730.5,20.1,1.641,0.069,-1.7836,0.0195,-1.7905,0.0197,0.3042,0.0285,-0.2594,0.0829,-0.0093,0.087,0.3755,0.0695,0.3586,0.0435,-0.1769,0.0496,0.2427,0.0454,0.1371,0.0741,-0.4309,0.073,-0.1391,0.0726,0.1415,0.0599,-0.0838,0.1386
1164668175738364160,4565.9,16.0,1.648,0.053,-1.1797,0.0176,-1.1923,0.0163,0.337,0.0186,-0.1852,0.0459,0.1789,0.0452,0.439,0.0421,0.3492,0.0316,0.0886,0.0464,0.2923,0.0356,0.1527,0.0491,0.1393,0.053,-0.4198,0.0493,0.0604,0.0422,-0.1343,0.1153
1164698068710580864,4723.5,17.3,2.112,0.05,-1.0396,0.0163,-1.0314,0.015,0.3498,0.0173,-0.0348,0.0449,-0.0079,0.0448,0.5387,0.0464,0.407,0.0293,0.2439,0.0449,0.3697,0.034,0.2244,0.0451,0.1146,0.053,-0.1693,0.0452,0.0505,0.0389,0.2557,0.1339
1164864747801616128,5079.5,14.8,2.907,0.036,-0.7772,0.0098,-0.7779,0.0092,0.2847,0.1256,0.0288,0.0324,0.0161,0.0346,0.5419,0.044,0.3585,0.0189,0.3021,0.0262,0.2384,0.0219,0.212,0.0264,0.071,0.0377,-0.2328,0.027,0.0635,0.0218,-0.259,0.1229
1168496331628267648,5204.1,25.5,2.404,0.045,-0.7659,0.013,-0.7593,0.0122,0.2479,0.0153,-0.053,0.0499,0.1313,0.0531,0.4419,0.0738,0.2683,0.0253,0.1603,0.0392,0.2591,0.0311,0.1747,0.0386,0.093,0.057,-0.2814,0.038,0.0311,0.0327,-0.5659,0.2112
1175606598447042432,4384.4,8.3,1.299,0.037,-1.2317,0.0109,-1.2298,0.0102,0.2673,0.0114,-0.2262,0.024,0.1872,0.0259,0.3374,0.0204,0.3174,0.0199,0.1207,0.0239,0.2621,0.0204,0.23,0.0267,0.0179,0.028,-0.2014,0.0285,0.0603,0.0219,-0.1179,0.05
