source_id,Teff,e_Teff,logg,e_logg,__Fe_H_,e__Fe_H_,__alpha_Fe_,e__alpha_Fe_,__C_Fe_,e__C_Fe_,__O_Fe_,e__O_Fe_,__Mg_Fe_,e__Mg_Fe_,__Al_Fe_,e__Al_Fe_,__Si_Fe_,e__Si_Fe_,__Ca_Fe_,e__Ca_Fe_,__Ti_Fe_,e__Ti_Fe_,__Mn_Fe_,e__Mn_Fe_,__Ni_Fe_,e__Ni_Fe_,__Ba_Fe_,e__Ba_Fe_,__Eu_Fe_,e__Eu_Fe_
4880568906940435712,4633.53,73.84,2.63117,0.188148,-0.481547,0.045702,0.284046,0.0124603,,,,,0.355154,0.0332209,0.421755,0.0293467,0.247988,0.0284852,0.260319,0.034274,0.284105,0.0170226,-0.145578,0.0314063,0.029083,0.0296854,-0.176496,0.0391774,0.364966,0.0378725
4893336886935783296,4613.46,103.0,1.72936,0.258472,-1.099182,0.082347,0.243708,0.0390791,,,0.142849,0.136462,0.245945,0.0786679,-0.002166,0.0727249,0.227416,0.0610429,0.39149,0.0783096,0.261547,0.0666892,-0.390839,0.0822228,-0.117132,0.0796955,0.312652,0.0941475,0.383935,0.1012663
4903098557324670720,5637.13,94.8,3.981501,0.183405,-0.751357,0.097142,0.57009,0.1101163,0.879042,0.1362488,0.318984,0.1434771,0.036387,0.0862807,0.133279,0.0768889,0.276339,0.0651711,-0.343193,0.082707,0.57009,0.1101163,0.040486,0.089792,0.06883,0.1172434,-0.002352,0.1007288,,
4904723463711905152,3590.04,84.44,0.695143,0.289422,-1.236232,0.260686,,,,,,,,,,,,,,,,,,,,,,,,
4905740511967380480,5721.21,136.98,3.907787,0.231091,-0.621949,0.17171,0.229964,0.0780651,0.914644,0.184308,0.519291,0.2201388,0.188835,0.203469,0.231269,0.1223528,0.159206,0.1177576,0.331825,0.1316977,0.251923,0.3136282,-0.144038,0.1968228,,,-0.007485,0.1817355,,
4906531782382508800,4673.33,79.13,1.639542,0.270927,-1.254763,0.053265,0.078943,0.0188729,,,0.473459,0.07297,0.073816,0.0353941,,,0.116678,0.0312207,0.216433,0.0396903,0.043737,0.0318895,-0.429782,0.0345439,-0.260986,0.0371807,0.556935,0.044278,0.557442,0.0514224
4907799519289458944,3831.83,80.67,1.071158,0.246102,-0.630247,0.066333,,,,,,,,,,,,,,,,,,,,,,,,
4918121665731513728,5948.63,142.18,2.754839,0.238988,,,,,,,,,,,,,,,,,,,,,,,,,,
4919113184701334016,4762.14,109.12,2.312819,0.236447,-0.418872,0.086225,0.277773,0.0414176,,,0.547043,0.1617737,0.285389,0.1086468,0.360407,0.0877456,0.209274,0.076536,0.294268,0.0942552,0.320533,0.0682061,-0.032724,0.1113952,8e-06,0.0949513,0.241598,0.1186309,0.139569,0.1292185
4937348722487743744,5175.12,104.68,3.374981,0.190087,-0.620703,0.091207,0.315288,0.0486722,0.679613,0.1548275,0.437169,0.1707204,0.281293,0.1208852,0.317658,0.0930529,0.331666,0.0823867,0.30328,0.0999394,0.32579,0.0970186,0.019172,0.122901,-0.095488,0.1446591,-0.204285,0.127743,0.482016,0.1192609
4973124494394400896,4786.29,157.23,2.623269,0.228845,-0.729959,0.136973,0.38085,0.0644579,,,0.741356,0.202043,0.298838,0.1703223,0.61031,0.1116266,0.359078,0.104241,0.369513,0.1200041,0.703075,0.1006237,0.13633,0.1677855,0.069844,0.1178145,-0.10743,0.1612941,0.647997,0.133448
5014129887197566720,4799.45,154.86,2.356473,0.261948,-0.92363,0.156057,0.083252,0.077764,,,0.907142,0.2243985,0.01803,0.2117526,0.222511,0.1248774,0.116611,0.1210276,0.084782,0.13446,0.192962,0.1825642,-0.290503,0.2039757,-0.309693,0.1995782,0.555097,0.186651,0.679921,0.1810672
