source_id,adopted_P,adopted_tier,P_independent,P_copula,delta_P,tier_independent,tier_copula
10283049355584128,0.92,B,0.926,0.929,0.0030000000000000027,B,B
19320583963797632,0.968,A,0.981,0.978,-0.0030000000000000027,A,A
23160976216587648,0.5295,C,0.5255,0.5265,0.0010000000000000009,C,C
30465165103355904,0.75,C,0.7535,0.752,-0.0014999999999999458,C,C
36729808698742528,0.908,B,0.93,0.918,-0.01200000000000001,B,B
37093334730689536,0.5023,C,0.5045,0.501,-0.0034999999999999476,C,C
47180254402996480,0.994,A,0.9935,0.994,0.0004999999999999449,A,A
56993395681126272,0.5668,C,0.5875,0.5785,-0.009000000000000008,C,C
66601512401466368,0.884,B,0.859,0.8665,0.007500000000000062,B,B
74355749434370304,0.6619,C,0.6635,0.647,-0.01649999999999996,C,C
77358206452039808,0.972,A,0.9825,0.9795,-0.0030000000000000027,A,A
78171462803918464,0.96,A,0.9665,0.9735,0.007000000000000006,A,A
89647344836572160,0.6318,C,0.621,0.6225,0.0015000000000000568,C,C
96520769978877184,0.3172,X,0.3215,0.311,-0.01050000000000001,subC,subC
97774900429231616,0.76,C,0.725,0.7335,0.008500000000000063,C,C
98892382200072192,0.4431,D,0.4485,0.4335,-0.015000000000000013,subC,subC
101071201929647872,0.4636,X,0.4595,0.4545,-0.0050000000000000044,subC,subC
115793147232361856,0.3612,D,0.367,0.3705,0.003500000000000003,subC,subC
127624407740600576,0.892,B,0.8885,0.8815,-0.007000000000000006,B,B
130549761506489088,0.6178,C,0.62,0.608,-0.01200000000000001,C,C
132425700141447168,0.6402,C,0.6495,0.6325,-0.017000000000000015,C,C
197752599391374208,0.828,C,0.797,0.8105,0.013499999999999956,C,C
203521290228598656,1.0,A,1.0,1.0,0.0,A,A
205004836352089472,0.866,B,0.891,0.884,-0.007000000000000006,B,B
208443936927452160,0.5186,C,0.5155,0.518,0.0025000000000000577,C,C
217189761654075520,0.5122,C,0.511,0.513,0.0020000000000000018,C,C
231283683952040960,0.966,A,0.9685,0.9655,-0.0030000000000000027,A,A
234580256030945920,0.702,C,0.706,0.71,0.0040000000000000036,C,C
241288548270244224,0.308,X,0.312,0.3065,-0.005500000000000005,subC,subC
252650798352384640,0.573,C,0.57,0.573,0.0030000000000000027,C,C
252736083521811968,0.874,B,0.8785,0.8745,-0.0039999999999998925,B,B
256180436837578112,0.5188,C,0.5175,0.497,-0.020499999999999963,C,subC
261459162099481472,0.4949,D,0.5025,0.4975,-0.004999999999999949,C,subC
262676695131174784,0.984,A,0.983,0.9815,-0.0014999999999999458,A,A
265384246809881600,0.541,C,0.5335,0.545,0.011500000000000066,C,C
269374713809672192,0.5128,C,0.542,0.518,-0.02400000000000002,C,C
278762382743524352,0.4401,D,0.442,0.4635,0.02150000000000002,subC,subC
294293323785437952,0.4154,X,0.4155,0.4065,-0.009000000000000008,subC,subC
301944417182112640,0.778,C,0.743,0.7575,0.014499999999999957,C,C
302464447526555776,0.924,B,0.937,0.9475,0.010499999999999954,B,B
311076582805158656,0.5443,C,0.55,0.5245,-0.025500000000000078,C,C
314046191913369216,0.8474,B,0.845,0.845,0.0,B,B
315210402928687488,0.4758,D,0.4815,0.4965,0.015000000000000013,subC,subC
321237028023235712,0.3436,D,0.3345,0.351,0.01649999999999996,subC,subC
323047790531192960,0.3528,X,0.36,0.3485,-0.01150000000000001,subC,subC
328001949407866240,0.806,C,0.8095,0.8035,-0.006000000000000005,C,C
333709582987700352,0.4068,X,0.3915,0.389,-0.0025000000000000022,subC,subC
339385433809052160,0.5832,C,0.5805,0.6045,0.02400000000000002,C,C
344945698470784768,0.722,C,0.714,0.7215,0.007500000000000062,C,C
347579131898942336,0.962,A,0.9645,0.9525,-0.01200000000000001,A,A
352441275395987456,0.4075,D,0.401,0.401,0.0,subC,subC
360119435674339840,0.954,A,0.9605,0.961,0.0004999999999999449,A,A
365529930530767232,0.721,C,0.737,0.697,-0.040000000000000036,C,C
366349822607618944,0.954,A,0.9655,0.9695,0.0040000000000000036,A,A
370667364252099712,0.702,C,0.735,0.751,0.016000000000000014,C,C
391429820279708288,1.0,A,1.0,1.0,0.0,A,A
396883466671182720,0.782,C,0.79,0.8055,0.015499999999999958,C,C
399062836156223488,0.3502,X,0.356,0.346,-0.010000000000000009,subC,subC
399840156517573760,0.794,C,0.804,0.8065,0.0024999999999999467,C,C
415728580578589184,0.5282,C,0.5395,0.534,-0.005499999999999949,C,C
424780206976678144,0.778,C,0.784,0.786,0.0020000000000000018,C,C
428191270004168064,0.776,C,0.768,0.7445,-0.023499999999999965,C,C
431014850227388672,0.798,C,0.8395,0.8355,-0.0040000000000000036,C,C
432368280312029568,0.5435,C,0.5395,0.525,-0.014499999999999957,C,C
435167671279809792,0.545,C,0.528,0.551,0.02300000000000002,C,C
456736447287786624,0.627,C,0.628,0.6535,0.025499999999999967,C,C
467577906816705664,0.778,C,0.7715,0.7845,0.013000000000000012,C,C
480133401884559488,0.7096,C,0.6985,0.702,0.0034999999999999476,C,C
480313786214074880,0.5228,C,0.5245,0.525,0.000500000000000056,C,C
488553942968868736,1.0,A,1.0,0.9995,-0.0004999999999999449,A,A
502038044332244864,0.77,C,0.751,0.754,0.0030000000000000027,C,C
509359245593920256,0.3348,X,0.3265,0.347,0.020499999999999963,subC,subC
523562736800603392,0.994,A,0.9905,0.99,-0.000500000000000056,A,A
528886469017207424,0.99,A,0.992,0.991,-0.0010000000000000009,A,A
529566723120575232,0.734,C,0.764,0.7545,-0.009500000000000064,C,C
557059358532245760,0.4991,D,0.4945,0.478,-0.016500000000000015,subC,subC
567181806175360512,0.6902,C,0.71,0.707,-0.0030000000000000027,C,C
573542618382183296,0.319,X,0.332,0.347,0.014999999999999958,subC,subC
578164376851522560,0.511,C,0.4965,0.5,0.003500000000000003,subC,subC
581304895593617280,0.6596,C,0.6635,0.6615,-0.0020000000000000018,C,C
591864296028633472,0.6368,C,0.6555,0.622,-0.033499999999999974,C,C
609201945132157312,1.0,A,1.0,1.0,0.0,A,A
611588847436971264,0.4104,D,0.4025,0.4275,0.024999999999999967,subC,subC
611725599195677184,0.85,B,0.828,0.842,0.014000000000000012,C,B
618772502360901120,0.838,C,0.828,0.7975,-0.03049999999999997,C,C
619676232199539200,0.4674,X,0.4765,0.4795,0.0030000000000000027,subC,subC
627195418560263808,0.97,A,0.9675,0.966,-0.0015000000000000568,A,A
630576176298226432,0.371,X,0.3805,0.3605,-0.020000000000000018,subC,subC
643909953807675008,0.986,A,0.9865,0.9845,-0.0020000000000000018,A,A
653284836625084800,0.958,A,0.952,0.954,0.0020000000000000018,A,A
653770752045220608,0.778,C,0.783,0.7795,-0.0035000000000000586,C,C
660293566119037440,0.744,C,0.733,0.743,0.010000000000000009,C,C
660335416280351744,0.944,B,0.9385,0.9475,0.009000000000000008,B,B
672464610083268480,0.682,C,0.6825,0.682,-0.0004999999999999449,C,C
684255227319472000,0.6852,C,0.6705,0.6785,0.008000000000000007,C,C
709339004560228224,0.778,C,0.7715,0.796,0.024500000000000077,C,C
711230886115419264,0.848,B,0.859,0.857,-0.0020000000000000018,B,B
716502322814874624,0.72,C,0.718,0.737,0.019000000000000017,C,C
722905328777590784,0.738,C,0.7445,0.7725,0.027999999999999914,C,C
735360905734746624,0.3318,X,0.3435,0.3295,-0.014000000000000012,subC,subC
741233839719918080,0.3647,D,0.365,0.3675,0.0025000000000000022,subC,subC
741949213768203648,0.6672,C,0.658,0.6665,0.008499999999999952,C,C
749898476678457088,0.4204,D,0.415,0.424,0.009000000000000008,subC,subC
752226795629762560,0.31,X,0.2965,0.3135,0.017000000000000015,subC,subC
756633432075198464,0.4684,D,0.463,0.4765,0.013499999999999956,subC,subC
764971780367451136,0.754,C,0.7385,0.7235,-0.015000000000000013,C,C
767256088789215232,0.6944,C,0.698,0.685,-0.0129999999999999,C,C
768743590582852096,0.5546,C,0.582,0.552,-0.029999999999999916,C,C
769290150941240064,0.503,C,0.4935,0.4945,0.0010000000000000009,subC,subC
774913461427063296,0.998,A,0.9935,0.993,-0.000500000000000056,A,A
780643879807822976,0.72,C,0.7265,0.7345,0.008000000000000007,C,C
788299019062433280,0.788,C,0.796,0.7905,-0.00550000000000006,C,C
797511934367443712,0.744,C,0.74,0.7425,0.0025000000000000577,C,C
797525781341967488,0.938,B,0.933,0.9325,-0.000500000000000056,B,B
800780851156429696,0.689,C,0.706,0.7125,0.006500000000000061,C,C
810445730162365312,0.828,C,0.8075,0.807,-0.0004999999999999449,C,C
817172267423387648,0.5088,C,0.523,0.525,0.0020000000000000018,C,C
821608659403229952,0.3838,X,0.394,0.387,-0.007000000000000006,subC,subC
823565034185868416,0.99,A,0.9875,0.9865,-0.0010000000000000009,A,A
837325216049899008,0.828,C,0.83,0.8275,-0.0024999999999999467,C,C
838180945333127424,0.5944,C,0.603,0.6045,0.0015000000000000568,C,C
845612441345836032,0.742,C,0.764,0.755,-0.009000000000000008,C,C
845653054556641280,0.806,C,0.815,0.818,0.0030000000000000027,C,C
849218903908289664,0.6618,C,0.657,0.6475,-0.009500000000000064,C,C
853354927350339968,0.736,C,0.7185,0.7285,0.010000000000000009,C,C
861212552839001088,0.858,B,0.836,0.8425,0.006500000000000061,C,B
861307729314216576,0.712,C,0.741,0.7425,0.0015000000000000568,C,C
866090433097852160,0.593,C,0.578,0.594,0.016000000000000014,C,C
880132845850389632,0.836,C,0.845,0.861,0.016000000000000014,B,B
900810914357503232,0.6308,C,0.6235,0.633,0.009499999999999953,C,C
905554104440273280,0.4399,D,0.448,0.4425,-0.005500000000000005,subC,subC
907765016165268096,0.836,C,0.841,0.843,0.0020000000000000018,B,B
909975790451805568,0.746,C,0.777,0.789,0.01200000000000001,C,C
940531046790534016,0.72,C,0.7495,0.749,-0.000500000000000056,C,C
941584104051402496,0.742,C,0.6945,0.724,0.02949999999999997,C,C
