variant,kind,n,median_R_peri_pc,median_R_apo_kpc,median_ecc,frac_ecc_gt_0p95,n_R_peri_lt_100pc,n_bridgers,trajsize,pericentre_method,EJ_drift_p84
static_halo_0p85,static,1952,119.35077806401365,7.366833209991455,0.9625333787237598,64.44672131147541,847,3,40001,parabola-interpolated cylindrical R minimum at dR=0,
static_default,static,1952,115.51601387291741,7.3553478717803955,0.9638660400702532,66.70081967213115,864,3,40001,parabola-interpolated cylindrical R minimum at dR=0,
static_halo_1p15,static,1952,111.2433770639291,7.32580041885376,0.9646161854425951,68.34016393442623,883,3,40001,parabola-interpolated cylindrical R minimum at dR=0,
bar_omega33,barred,1952,14.96922778931525,8.280335903167725,0.9955161302735133,91.44467213114754,1601,8,40001,parabola-interpolated cylindrical R minimum at dR=0,1.0179356812620957e-06
bar_omega37p5,barred,1952,14.23765735891745,8.32243299484253,0.9957170108356743,92.98155737704919,1629,21,40001,parabola-interpolated cylindrical R minimum at dR=0,1.0440974909806048e-06
bar_omega41,barred,1952,13.2479934338352,7.971025466918945,0.9960112664225744,93.90368852459017,1657,31,40001,parabola-interpolated cylindrical R minimum at dR=0,1.06416100063327e-06
bar_omega24,barred,1952,13.937342041722436,7.889838933944702,0.9954438979159262,93.85245901639344,1613,8,40001,parabola-interpolated cylindrical R minimum at dR=0,1.0404419207706546e-06
bar_omega28,barred,1952,14.113144536999457,7.922948837280273,0.9956524987449862,92.67418032786885,1624,7,40001,parabola-interpolated cylindrical R minimum at dR=0,1.0472946999581563e-06
bar_omega37p5_ang20,barred,1952,14.384464827005784,8.244517803192139,0.9957236835095862,92.3155737704918,1602,18,40001,parabola-interpolated cylindrical R minimum at dR=0,1.0789944254875174e-06
bar_omega37p5_ang25,barred,1952,14.180044941765958,8.318978309631348,0.9958639012353327,92.62295081967213,1638,23,40001,parabola-interpolated cylindrical R minimum at dR=0,1.0145558091434187e-06
bar_omega37p5_ang30,barred,1952,13.850507158676281,8.300965309143066,0.9958895569626203,94.10860655737704,1681,25,40001,parabola-interpolated cylindrical R minimum at dR=0,1.041010496725694e-06
bar_omega37p5_ang35,barred,1952,13.0161621667987,8.391831874847412,0.9960460043769699,95.23565573770492,1717,28,40001,parabola-interpolated cylindrical R minimum at dR=0,1.058290106486899e-06
static_halo_qz0p80,static,1952,118.13721450810864,7.353575706481934,0.9626882383086603,65.21516393442623,853,3,40001,parabola-interpolated cylindrical R minimum at dR=0,
static_halo_qz0p85,static,1952,117.22160410332798,7.343714237213135,0.9628838149638176,65.3688524590164,862,3,40001,parabola-interpolated cylindrical R minimum at dR=0,
static_halo_qz0p90,static,1952,116.23721603430486,7.3578102588653564,0.963458941386373,65.57377049180327,865,3,40001,parabola-interpolated cylindrical R minimum at dR=0,
static_halo_qz0p95,static,1952,115.70224965316775,7.366850137710571,0.9635949201241303,66.0860655737705,866,3,40001,parabola-interpolated cylindrical R minimum at dR=0,
static_halo_qz1p00,static,1952,115.39797457296754,7.352384328842163,0.9638631652943512,66.70081967213115,864,3,40001,parabola-interpolated cylindrical R minimum at dR=0,
static_halo_qz1p05,static,1952,114.27992544558197,7.3508219718933105,0.964188118968125,66.95696721311475,873,3,40001,parabola-interpolated cylindrical R minimum at dR=0,
