source_id,tier,vgrf_default,P_vgrf_below_25,radial_velocity,radial_velocity_error,rv_nb_transits,rv_chisq_pvalue,ruwe,nss_match
4627302725674241536,B,2.065629919203976,0.878,180.9728,14.674045,17.0,,0.9175232,False
4065262966083493248,B,2.605975861241212,0.866,-39.68979,5.28504,6.0,,0.8718256,False
1622238254693785344,A,3.109206519413188,1.0,-178.37387,1.7590345,22.0,,1.0371734,False
5605836330306291968,B,3.930800070406596,0.864,218.18535,7.881282,19.0,,0.9926742,False
609201945132157312,A,4.157889875560558,1.0,114.166565,2.1388378,29.0,,1.0196944,False
1454381071520615168,A,4.558981893428205,0.996,-67.567184,0.1684977,21.0,0.059804026,1.1345398,False
4364961111010691712,A,4.720955534355982,0.968,-78.293045,3.8447008,19.0,,0.97270936,False
6688282163217863936,B,4.74858706013435,0.856,10.7860985,8.062427,17.0,,1.0041524,False
2308195315557676416,A,4.795911026603852,0.966,20.094162,0.7652494,16.0,0.0,1.0872897,False
1605770800325684992,A,4.896732249883396,1.0,-141.85843,0.22777654,25.0,3.8317127e-12,0.9921375,True
6333764361329271808,B,5.174615634766021,0.886,12.719418,5.2538323,12.0,,1.0080835,False
3168941121415464704,A,5.253767204644968,1.0,96.07068,4.0534053,12.0,,1.0036854,False
6132947118094648320,A,5.4802986846634445,0.97,193.44041,5.485479,17.0,,1.0012033,False
4780282558746990080,A,5.661481434844179,1.0,176.07281,1.368819,19.0,0.8339369,1.0657222,False
1772492325424795904,A,5.724903894986658,0.956,-197.68059,7.2059255,9.0,,1.0039544,False
2260725447217651968,A,5.784655100685992,1.0,-206.9119,3.917072,17.0,,1.0194799,False
4823853627575696768,B,5.869685310575846,0.878,177.62688,1.663307,28.0,,1.019784,False
4902531381123134464,A,6.246221532945408,0.996,119.38885,8.483173,19.0,,0.96341264,False
6207005544120495872,B,6.259042456774362,0.88,78.46161,4.450489,12.0,,1.0267546,False
5816984206839975168,B,6.346834120869756,0.87,116.09124,4.697898,27.0,,0.9594426,False
6870071807985278720,B,6.387366269159024,0.896,-97.59834,2.1869369,11.0,,0.9689858,False
6209253362502782464,B,6.419525851323375,0.92,63.738995,10.4059305,12.0,,0.9958713,False
4469009098941937408,B,6.424374926398705,0.934,-116.90293,3.1511185,26.0,,1.022167,False
4185203604269449984,A,6.479498583050538,0.956,-100.02257,1.2777998,6.0,0.7795725,1.0041666,False
6108497003152436096,B,6.493957932856232,0.88,155.12419,2.954399,13.0,,1.0996689,False
1134163222058515200,B,6.83472752690427,0.866,-158.65741,5.4118104,12.0,,0.95238125,False
2040754058596128896,A,6.85755905229508,1.0,-214.8143,1.4770871,25.0,,0.9651342,False
6333908397352626176,B,6.889371753572352,0.894,15.933994,5.257827,9.0,,1.0480943,False
6865189907638173952,B,6.9164297324372015,0.88,-86.860016,1.2285587,20.0,,1.0672957,False
3572451065491937280,A,6.92095586923496,1.0,149.30519,2.043105,26.0,,0.9889302,False
1867143474676435456,A,7.064014099647507,1.0,-230.68883,2.6959035,28.0,,1.0280286,False
2712478319387225600,A,7.117114387160339,1.0,-161.81107,2.1321514,8.0,,1.3094286,False
5576846709795882368,A,7.190553805914881,1.0,223.4999,0.16960129,23.0,0.4940595,1.1335983,False
4803516579472199296,B,7.22408685344384,0.95,210.92522,4.5047145,19.0,,1.0569787,False
5516010937598299392,A,7.32771782160725,1.0,241.85416,2.5415945,16.0,,0.9834076,False
3673477423666158080,B,7.374695373101487,0.89,-1.1440555,1.7114089,14.0,0.9763559,0.9812719,False
4605148051709428096,A,7.403595759647604,1.0,-205.55774,2.2911434,21.0,,1.001971,False
6192851977609915520,A,7.603551215827274,0.962,143.15822,1.837522,17.0,6.661338e-16,1.1055341,True
643909953807675008,A,7.64092145553661,0.986,60.877907,0.41807094,30.0,0.2721929,1.2023373,False
3154630702704567808,B,7.649407266508137,0.936,111.14164,5.2878537,12.0,,1.1160477,False
4432618322075745664,B,7.738748052441555,0.934,-73.59881,3.5994294,18.0,,1.0125567,False
203521290228598656,A,7.752757083853407,1.0,-58.112797,2.9844565,18.0,2.9976022e-15,3.9912713,False
4131646324146264192,B,7.876399580947347,0.862,-14.008509,0.7739774,26.0,,1.0720502,False
6568723429179272960,A,7.946815023902673,0.996,20.054815,0.35681245,29.0,0.4276917,0.99339604,False
5816763754765392384,A,8.111841795104436,1.0,130.8019,2.312757,38.0,,1.0204418,False
1826249132580196352,A,8.124499283150444,0.974,-209.39372,5.1853275,18.0,,0.9457293,False
1863195815616129536,A,8.209408109474506,1.0,-227.76178,3.636762,18.0,,0.97956336,False
2078943464685299840,A,8.214492111165733,1.0,-234.30374,1.1197791,17.0,,1.0476333,False
2901583461689356032,A,8.262919823493023,1.0,176.66817,0.431221,29.0,0.18170857,1.0392622,False
2292826342025727616,A,8.292657905608754,1.0,-197.6981,1.7021542,22.0,,0.9059092,False
