source_id,Teff,e_Teff,logg,e_logg,__Fe_H_,e__Fe_H_,__M_H_,e__M_H_,__a_M_,e__a_M_,__C_Fe_,e__C_Fe_,__N_Fe_,e__N_Fe_,__O_Fe_,e__O_Fe_,__Mg_Fe_,e__Mg_Fe_,__Al_Fe_,e__Al_Fe_,__Si_Fe_,e__Si_Fe_,__Ca_Fe_,e__Ca_Fe_,__Ti_Fe_,e__Ti_Fe_,__Mn_Fe_,e__Mn_Fe_,__Ni_Fe_,e__Ni_Fe_,__Ce_Fe_,e__Ce_Fe_
2535423992030829056,5025.2,16.7,2.431,0.055,-1.8604,0.0124,-1.9024,0.0132,0.344,0.0223,0.3992,0.0735,-0.1886,0.1285,0.6011,0.0702,0.3469,0.0326,-0.321,0.0288,0.2741,0.0317,-0.0863,0.0513,,,-0.0661,0.0516,0.2155,0.0386,0.0598,0.1134
2550763901521292032,4364.6,15.3,4.621,0.034,-0.5793,0.0152,-0.5973,0.0142,0.1478,0.007,-0.0338,0.0245,,,0.1274,0.0203,0.143,0.0214,,,0.1573,0.0209,0.078,0.0234,-0.0733,0.0379,-0.2171,0.0388,-0.0251,0.0282,,
2550763901521292032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551618187696050560,4580.6,10.6,1.22,0.046,-1.641,0.012,-1.6942,0.012,0.0463,0.0164,-0.7525,0.0401,0.0145,0.0563,0.1108,0.0323,-0.0095,0.0261,-0.5498,0.0259,-0.0439,0.0254,-0.1344,0.0379,-0.2992,0.0377,-0.2607,0.0397,-0.2376,0.0298,-0.4387,0.0633
2554566906082928896,4964.5,17.0,2.378,0.056,-1.7858,0.0133,-1.8106,0.0139,0.2884,0.0222,0.1767,0.0704,-0.2692,0.1305,0.4176,0.0668,0.316,0.033,-0.233,0.0315,0.2368,0.0329,,,0.4354,0.0566,,,-0.0324,0.0402,0.0464,0.1165
2558587476508131072,4937.2,14.8,1.82,0.043,-1.1679,0.0115,-1.1849,0.0111,0.2244,0.0146,-0.3796,0.0414,0.1174,0.0417,0.4925,0.0462,0.1519,0.0237,-0.2143,0.029,0.2148,0.0258,0.1559,0.0347,-0.1287,0.043,-0.4425,0.0354,-0.0029,0.0281,-0.5727,0.1106
2580601829600164096,4824.3,13.0,2.285,0.034,-0.5328,0.011,-0.5169,0.0097,0.3007,0.01,0.0485,0.0247,0.2547,0.0275,0.4591,0.0308,0.3803,0.0181,0.4004,0.0299,0.2797,0.0216,0.2309,0.0246,0.1369,0.0339,-0.1214,0.0253,0.1047,0.0213,-0.3628,0.1064
2580992912142128512,5027.9,23.1,2.452,0.064,-1.6069,0.0165,-1.6622,0.017,0.2944,0.0262,-0.2749,0.118,-0.0398,0.1582,0.2692,0.0912,0.3262,0.0393,-0.4376,0.0438,0.1824,0.042,-0.2325,0.0663,-0.3993,0.0746,,,-0.0552,0.0526,0.1246,0.1759
2591454456042861696,5271.9,27.0,2.451,0.051,-0.8516,0.0144,-0.8565,0.0137,0.1401,0.018,0.241,0.0633,0.2124,0.0608,0.3225,0.0953,0.1278,0.0291,-0.014,0.0448,0.0939,0.0361,-0.2096,0.0465,0.0145,0.0685,-0.3229,0.045,0.0537,0.0392,-0.7105,0.258
2592172849452592896,5256.0,23.8,2.228,0.046,-0.9309,0.0122,-0.941,0.0118,0.1235,0.016,-0.3367,0.0545,0.2851,0.0915,0.3286,0.0791,0.0373,0.0256,-0.297,0.0355,0.0902,0.0304,-0.1513,0.0393,0.125,0.057,-0.2818,0.0388,-0.106,0.0324,-0.0547,0.2002
2593188145361730432,4802.1,12.8,1.855,0.046,-1.548,0.0117,-1.5661,0.0118,0.1861,0.0166,-0.3702,0.0453,0.157,0.0503,0.3339,0.042,0.174,0.0261,-0.3148,0.027,0.1411,0.0263,0.2044,0.0385,-0.4389,0.0421,-0.449,0.0398,0.0556,0.0303,0.094,0.0849
2593842900241072256,4903.3,12.2,2.228,0.035,-0.923,0.0098,-0.9297,0.0092,0.1464,0.0111,-0.3084,0.0292,0.1498,0.0313,0.3773,0.0342,0.124,0.0188,-0.1003,0.0244,0.1088,0.0207,0.2207,0.0257,-0.0107,0.0336,-0.2988,0.0267,-0.0813,0.0211,-0.1126,0.0917
2595012784907936640,5151.5,14.0,3.054,0.037,-1.1111,0.0088,-1.1165,0.0087,0.213,0.0122,-0.0451,0.0375,-0.4914,0.4092,0.463,0.0484,0.2405,0.0195,-0.1421,0.0219,0.1894,0.021,0.2569,0.0272,-0.0683,0.0373,-0.3373,0.0281,0.0154,0.0214,-0.8271,0.1086
2612731655307937280,4644.5,11.6,1.473,0.045,-1.5056,0.0123,-1.5206,0.0121,0.3038,0.0159,-0.474,0.0396,0.2472,0.0394,0.3948,0.0344,0.3048,0.0256,-0.1401,0.0278,0.2791,0.0259,0.3001,0.0373,-0.5471,0.0392,-0.6208,0.0388,0.0334,0.0299,-0.269,0.0736
2613292303158865024,5068.3,24.6,2.26,0.05,-0.7562,0.016,-0.7342,0.0146,0.2493,0.0173,0.0752,0.0535,0.0675,0.0529,0.4641,0.0735,0.3084,0.0291,0.2251,0.0501,0.1755,0.0367,0.1685,0.046,0.1334,0.0647,-0.049,0.0448,0.002,0.0401,-0.0268,0.2294
2618359849171681280,4752.2,14.1,1.319,0.063,-2.3419,0.0141,-2.382,0.0156,0.375,0.0275,-0.4054,0.1175,0.594,0.1209,0.4211,0.0588,0.3316,0.0392,,,0.3213,0.0348,0.5183,0.0634,-0.6484,0.0562,0.2662,0.0642,,,,
2619884906159368832,4886.5,11.4,2.461,0.031,-0.5679,0.0091,-0.557,0.0082,0.2874,0.0088,0.0027,0.0219,0.2669,0.0248,0.4834,0.0279,0.3593,0.0157,0.3629,0.0237,0.2413,0.0182,0.1842,0.0206,0.1778,0.029,-0.127,0.0215,0.0508,0.0173,0.0253,0.0905
2621237610403621632,3955.3,5.2,0.981,0.026,-0.5429,0.0099,-0.545,0.0082,0.1146,0.0065,-0.0327,0.0118,0.1815,0.0138,0.1409,0.0106,0.1347,0.0134,-0.079,0.0216,0.0602,0.0147,0.0251,0.0161,0.023,0.0174,-0.0133,0.0173,0.0156,0.0138,,
2627296748401886208,4749.8,14.5,2.093,0.045,-1.09,0.0134,-1.0934,0.0126,0.3263,0.015,-0.0756,0.0386,-0.0881,0.0393,0.4772,0.0397,0.3231,0.0252,0.1257,0.0347,0.3256,0.0281,0.2516,0.0372,-0.0034,0.044,-0.2675,0.0379,-0.0529,0.0312,0.1104,0.1067
2635263259900907776,4992.8,12.9,2.451,0.032,-0.6154,0.0092,-0.593,0.0084,0.2619,0.0094,0.1573,0.0252,0.1095,0.0281,0.3849,0.034,0.3546,0.0166,0.2567,0.0246,0.2134,0.0194,0.1462,0.0222,0.2005,0.0321,-0.149,0.023,0.0926,0.0186,-0.264,0.106
2677609404056531328,4652.6,8.7,2.31,0.029,-0.698,0.0089,-0.6984,0.008,0.2692,0.0083,0.0209,0.0184,-0.0624,0.0212,0.3578,0.0199,0.341,0.0151,0.2595,0.0214,0.1312,0.0167,0.2155,0.0193,-0.0684,0.0244,-0.2336,0.0205,0.0443,0.0161,-0.1981,0.0615
2686534655336003584,4371.9,7.5,1.866,0.029,-0.5903,0.0098,-0.5882,0.0084,0.3107,0.0077,0.0952,0.0155,0.1313,0.018,0.3635,0.0152,0.3614,0.0148,0.3248,0.023,0.2497,0.0165,0.1854,0.0186,0.182,0.0222,-0.1529,0.0198,0.094,0.0159,-0.3944,0.0501
2686534655336003584,4362.1,7.1,1.824,0.028,-0.5894,0.0093,-0.5927,0.0081,0.2947,0.0074,0.0816,0.0147,0.1375,0.0172,0.3441,0.0144,0.3757,0.0142,0.2568,0.0217,0.2573,0.0158,0.1846,0.0176,0.1223,0.021,-0.1665,0.0188,0.0725,0.015,-0.273,0.0468
2688126748172507392,4722.9,12.9,2.353,0.039,-0.8281,0.0122,-0.8348,0.0111,0.3157,0.0121,0.0722,0.0295,0.087,0.0316,0.4693,0.032,0.372,0.0212,0.3092,0.0317,0.313,0.0243,0.2278,0.0299,0.3753,0.0371,-0.2125,0.0307,0.0753,0.0255,-0.4384,0.0971
2688126748172507392,4705.6,13.7,2.265,0.041,-0.8475,0.0131,-0.8502,0.0119,0.3157,0.0129,0.0572,0.0317,0.022,0.0336,0.4241,0.034,0.3765,0.0227,0.2159,0.0348,0.2778,0.0262,0.2294,0.0325,0.2074,0.0399,-0.2048,0.0333,0.0446,0.0279,-0.0581,0.1039
2706114376150050176,4917.0,16.7,2.304,0.041,-0.7672,0.0129,-0.7429,0.0117,0.284,0.0133,-0.0675,0.0362,0.1971,0.0379,0.3705,0.0451,0.3648,0.0229,0.2785,0.0362,0.2355,0.0274,0.2825,0.0334,0.0784,0.045,-0.1898,0.0337,0.099,0.0287,,
2711816207229071232,6059.0,62.3,4.382,0.048,-0.5086,0.0129,-0.5074,0.0117,0.219,0.2438,0.1129,0.1131,0.5554,0.2357,0.2349,0.2412,0.3292,0.023,0.3536,0.0301,0.2013,0.0266,0.2918,0.0321,,,-0.1624,0.0369,-0.0852,0.031,,
2712478319387225600,4859.0,115.2,4.626,0.15,-0.2293,0.0311,-0.2929,0.0428,0.3469,0.8507,0.2095,0.1035,-0.5603,1.6913,0.6467,0.0647,0.4072,0.0654,,,0.5702,0.0654,0.1924,0.0658,,,-1.3766,0.0706,-0.3312,0.04,,
2713355489148180480,5116.6,20.2,2.343,0.041,-0.6754,0.0121,-0.6726,0.0112,0.124,0.0133,-0.4848,0.0402,0.4341,0.0417,0.3128,0.0577,0.1587,0.0225,-0.103,0.0357,0.0645,0.0275,0.0861,0.0331,0.0187,0.0487,-0.1928,0.0331,-0.0936,0.0282,-0.1786,0.1751
