source_id,Teff,e_Teff,logg,e_logg,__Fe_H_,e__Fe_H_,__M_H_,e__M_H_,__a_M_,e__a_M_,__C_Fe_,e__C_Fe_,__N_Fe_,e__N_Fe_,__O_Fe_,e__O_Fe_,__Mg_Fe_,e__Mg_Fe_,__Al_Fe_,e__Al_Fe_,__Si_Fe_,e__Si_Fe_,__Ca_Fe_,e__Ca_Fe_,__Ti_Fe_,e__Ti_Fe_,__Mn_Fe_,e__Mn_Fe_,__Ni_Fe_,e__Ni_Fe_,__Ce_Fe_,e__Ce_Fe_
21585272974673024,5022.1,17.2,2.011,0.048,-1.3335,0.0123,-1.3437,0.0123,0.2442,0.0174,-0.1425,0.0534,-0.3465,0.2784,0.422,0.0599,0.2017,0.0272,-0.2736,0.0316,0.1899,0.0294,0.126,0.0414,-0.3839,0.0509,-0.333,0.0417,-0.0608,0.0331,-0.6464,0.1306
61282624901794176,5121.5,23.0,2.848,0.046,-1.0085,0.0127,-1.0083,0.0122,0.1611,0.0161,-0.2184,0.0511,0.9681,0.0503,0.0874,0.0671,0.1691,0.0261,0.0978,0.0358,0.1232,0.0303,0.189,0.0397,-0.1416,0.0542,-0.3394,0.0395,-0.1156,0.0329,-0.5994,0.1711
65354941093231360,3895.9,5.7,0.701,0.033,-1.0468,0.0116,-1.0699,0.0102,0.0586,0.0094,-0.3614,0.0166,0.0135,0.0186,0.0473,0.0134,-0.0213,0.0178,-0.4682,0.0241,-0.0544,0.0183,0.0994,0.0227,,,,,-0.0441,0.0192,,
66601512401466368,5231.1,20.7,3.386,0.043,-0.9029,0.0114,-0.9162,0.011,0.1967,0.1536,0.0564,0.0484,-0.2851,0.0781,0.5325,0.0697,0.2103,0.0237,-0.1497,0.0323,0.1339,0.0278,0.0936,0.0354,-0.0755,0.0514,-0.3287,0.0353,-0.1098,0.0291,-0.9012,0.1777
77358206452039808,4976.6,11.8,3.074,0.03,-0.529,0.0086,-0.5325,0.0077,0.1341,0.0085,-0.0158,0.0221,-0.0072,0.0252,0.2528,0.03,0.1791,0.0151,0.0386,0.0224,0.073,0.0176,0.1516,0.0197,0.0929,0.0289,-0.1545,0.0206,-0.0013,0.0165,-0.1141,0.0956
120390510287264384,4465.8,7.1,2.16,0.025,-0.4209,0.0085,-0.4129,0.0072,0.2638,0.0065,0.0946,0.0132,0.0559,0.0158,0.317,0.0139,0.3131,0.0127,0.3001,0.0202,0.219,0.0144,0.1636,0.0154,0.2054,0.0196,-0.0941,0.0164,0.0987,0.0131,-0.2211,0.0493
143380340648059904,4740.0,10.7,2.847,0.03,-0.3846,0.0098,-0.38,0.0085,0.2533,0.0082,0.123,0.0189,0.1313,0.0219,0.3186,0.0231,0.3108,0.0153,0.2892,0.026,0.1935,0.0183,0.1751,0.0199,0.2164,0.0276,-0.1146,0.0207,0.0968,0.0172,-0.4039,0.0852
181761233558716672,4844.9,11.1,2.199,0.036,-1.0995,0.0095,-1.1034,0.0091,0.2137,0.0114,-0.114,0.0293,-0.1096,0.0311,0.3803,0.0316,0.2091,0.019,-0.1154,0.0225,0.1871,0.0201,0.2214,0.0258,0.081,0.032,-0.4405,0.0271,0.0061,0.0208,-0.8935,0.0779
217951143389981184,4823.6,19.6,2.141,0.051,-0.9125,0.0166,-0.9242,0.0152,0.1487,0.0174,-0.2186,0.0478,-0.0987,0.0475,0.4157,0.0538,0.1076,0.0296,-0.1216,0.0477,0.1555,0.0354,0.243,0.0461,-0.0024,0.0573,-0.3509,0.0457,0.2965,0.0401,-0.2946,0.1616
315337465240775296,4915.9,17.7,2.238,0.054,-1.4831,0.0142,-1.5346,0.0143,0.2947,0.0206,-0.0327,0.062,0.1517,0.0576,0.5604,0.0619,0.2399,0.0318,-0.2949,0.0359,0.2245,0.0336,0.4046,0.0502,,,-0.2217,0.0502,-0.8578,0.0401,-0.8396,0.1283
339385433809052160,4736.0,11.2,1.473,0.042,-1.4639,0.0109,-1.4844,0.0108,0.2258,0.0146,-0.5401,0.0373,0.0962,0.0395,0.3639,0.0341,0.1837,0.0234,-0.2329,0.0245,0.2044,0.0235,0.1392,0.0333,-0.1377,0.0364,-0.4578,0.0348,-0.0741,0.0263,-0.2658,0.072
358212680650499200,4672.3,11.5,1.631,0.048,-1.7943,0.0121,-1.8001,0.0124,0.2991,0.018,0.6334,0.0468,0.5091,0.0447,0.3226,0.038,0.3313,0.0279,-0.3061,0.0262,0.3035,0.0268,0.3601,0.0413,-0.117,0.0412,-0.2693,0.0429,-0.1671,0.032,0.734,0.0699
371033428608858240,4113.3,6.0,1.428,0.028,-0.6926,0.01,-0.6945,0.0085,0.2973,0.0075,0.1035,0.0139,0.0933,0.0161,0.3345,0.0124,0.3518,0.0146,0.1559,0.022,0.2105,0.0158,0.1747,0.018,0.1819,0.0197,-0.1279,0.0194,0.067,0.0154,-0.173,0.0365
454689465875074048,4586.4,11.1,1.59,0.045,-1.5038,0.0124,-1.4942,0.0121,0.1065,0.0155,,,0.6455,0.0375,0.1432,0.0319,0.1241,0.0252,-0.4125,0.0279,0.0642,0.0256,0.1565,0.0365,-0.0058,0.038,0.0182,0.0381,0.0149,0.0294,1.4865,0.0698
508986889108247296,4608.7,8.9,1.823,0.032,-0.9121,0.0095,-0.9158,0.0087,0.1775,0.0095,-0.1466,0.0212,0.0193,0.0237,0.2502,0.0213,0.2138,0.0168,-0.0293,0.0221,0.132,0.0181,0.1584,0.022,-0.0479,0.0263,-0.3098,0.0234,-0.0371,0.0182,0.0091,0.0596
528867742960107264,4012.0,6.3,0.588,0.034,-1.116,0.0116,-1.1409,0.0104,0.117,0.0101,-0.5268,0.0184,0.1104,0.0204,0.1322,0.0147,0.1224,0.0186,-0.3242,0.0242,0.1211,0.019,0.1295,0.0241,-0.1231,0.0235,-0.2328,0.0261,-0.045,0.0203,,
578164376851522560,4835.3,11.8,1.932,0.041,-1.3635,0.0103,-1.3889,0.0102,0.243,0.0139,-0.27,0.0371,0.0085,0.0375,0.4825,0.0368,0.1974,0.0223,-0.2814,0.0238,0.234,0.0228,0.2176,0.0316,-0.0982,0.0365,-0.3859,0.0329,-0.1099,0.0249,0.0435,0.0794
578294948152572032,4798.6,13.9,1.869,0.045,-1.2499,0.0125,-1.2561,0.012,0.2545,0.0154,-0.3877,0.0408,0.3018,0.0409,0.4361,0.0413,0.2583,0.0251,-0.1463,0.0309,0.2401,0.027,0.2345,0.0369,0.0012,0.043,-0.4646,0.0378,-0.0579,0.0302,-0.2933,0.0994
602098756419249024,4841.4,32.6,3.007,0.063,-0.5423,0.0171,-0.5579,0.0187,0.2994,0.0201,0.0482,0.0431,-0.1045,0.0501,0.3807,0.0533,0.3445,0.0298,0.2086,0.0534,0.3334,0.037,0.1105,0.0438,0.1643,0.0581,-0.3534,0.0416,0.0515,0.0382,0.1689,0.1907
609201945132157312,5353.5,62.5,3.856,0.119,-1.8541,0.0192,-1.8857,0.039,0.3039,0.0383,0.3363,0.1727,-0.468,2.4302,0.1725,0.2015,0.328,0.0627,-0.3556,0.0553,0.1906,0.0665,0.5115,0.1053,-0.0141,0.1225,-0.0891,0.0922,0.3579,0.0766,,
624185569903244800,4864.8,11.1,2.44,0.03,-0.506,0.009,-0.4942,0.008,0.2688,0.0084,0.1693,0.0206,0.0832,0.0237,0.4442,0.0264,0.3146,0.0152,0.2952,0.0236,0.2475,0.0179,0.1219,0.0198,0.1993,0.0281,-0.1065,0.0207,0.1333,0.0168,0.0039,0.0887
668544408750438528,3897.4,5.6,0.828,0.031,-0.93,0.0112,-0.9419,0.0097,0.1606,0.0086,-0.1544,0.0152,0.0756,0.0172,0.157,0.0126,0.1778,0.0166,-0.2653,0.0235,0.0585,0.0173,0.1109,0.0209,,,,,0.0064,0.0177,,
671339298589177984,5084.4,19.7,3.969,0.042,-0.6544,0.0127,-0.6629,0.0116,0.3032,0.1677,-0.0286,0.0407,-0.1559,0.0485,0.5311,0.0575,0.3617,0.0232,0.2156,0.0377,0.1528,0.0286,0.2624,0.0344,0.0041,0.05,-0.2083,0.0343,0.1302,0.0296,-0.1618,0.1782
683145167252221056,4998.7,14.5,3.265,0.034,-0.5379,0.0102,-0.5259,0.0092,0.2576,0.1163,0.1061,0.0273,-0.1938,0.0302,0.5198,0.0378,0.3414,0.0178,0.3793,0.0284,0.228,0.0215,0.2151,0.0244,0.2701,0.0358,-0.0873,0.025,0.1251,0.0209,-0.1028,0.124
684255227319472000,4579.6,9.6,1.528,0.038,-1.28,0.0107,-1.3037,0.0103,0.2085,0.0125,-0.4069,0.0288,0.0792,0.0303,0.3007,0.0258,0.1717,0.0209,-0.2481,0.0239,0.1973,0.0214,0.2114,0.0287,-0.0692,0.0313,-0.2852,0.0304,-0.0341,0.0232,-0.2225,0.0606
691076318283980928,4781.4,9.9,2.426,0.031,-0.7497,0.0089,-0.7498,0.0081,0.3332,0.009,0.1017,0.0213,-0.0919,0.0241,0.5408,0.0244,0.3963,0.0159,0.2573,0.0218,0.3038,0.0176,0.2664,0.0206,0.2084,0.027,-0.249,0.0218,0.0117,0.0171,0.0579,0.0725
699879906025736576,4374.8,11.3,1.82,0.038,-0.5923,0.0144,-0.6008,0.0123,0.3092,0.0112,0.0721,0.0237,0.0738,0.0261,0.3567,0.0233,0.3891,0.0213,0.2617,0.0384,0.2696,0.0251,0.1642,0.0294,0.1278,0.0344,-0.1724,0.0302,0.0395,0.0263,-0.2635,0.0828
704831041246033408,4723.6,11.3,2.562,0.033,-0.6016,0.0106,-0.6102,0.0094,0.3179,0.0096,0.0731,0.0226,0.0202,0.0253,0.4017,0.0259,0.3718,0.0174,0.3154,0.0274,0.3106,0.0203,0.237,0.0233,0.1817,0.0306,-0.1731,0.0243,0.0025,0.02,-0.0191,0.0859
708932597573947648,4833.1,24.7,2.0,0.073,-1.6518,0.0213,-1.6765,0.0214,0.3059,0.0308,-0.1095,0.0958,-0.5082,0.6687,0.4784,0.0879,0.289,0.0469,-0.3261,0.0583,0.2408,0.0512,0.3905,0.0826,0.1633,0.0858,-0.2485,0.0794,-0.1224,0.0678,-0.1087,0.1849
712158152373616512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
712793567014695296,5713.3,53.5,4.224,0.054,-0.6062,0.0165,-0.6184,0.015,0.19,0.1772,0.3798,0.0994,-0.4253,0.4523,0.5731,0.1716,0.2491,0.0268,0.19,0.0369,0.1822,0.0304,0.1818,0.038,-0.7147,0.1542,-0.0439,0.0487,0.1076,0.0395,,
713863666706876160,4703.2,63.7,4.662,0.092,-1.8216,0.0286,-1.8833,0.0402,0.3192,0.3476,0.1447,0.0659,,,0.3105,0.0594,0.3299,0.0476,-0.2338,0.049,0.2353,0.0483,0.2909,0.0579,0.0114,0.0887,0.2528,0.0914,0.0556,0.0622,,
724222401973325824,4589.9,8.6,2.023,0.031,-0.8593,0.0094,-0.8523,0.0085,0.2963,0.0091,0.0171,0.0199,0.0371,0.0225,0.3832,0.0201,0.3333,0.0162,0.2544,0.0219,0.273,0.0176,0.2568,0.021,0.1238,0.0254,-0.2105,0.0224,0.073,0.0175,-0.1258,0.0582
735360905734746624,5032.8,30.8,2.365,0.071,-1.7303,0.0187,-1.7418,0.0235,0.4595,0.0305,0.7496,0.1074,-0.4839,1.794,0.9317,0.1083,0.4969,0.047,-0.0658,0.0507,0.4348,0.0502,0.4848,0.0802,0.4226,0.088,,,0.0824,0.0628,-0.3617,0.2026
738601063422581888,5043.2,21.0,2.571,0.068,-2.0751,0.0153,-2.1096,0.0181,0.3697,0.0299,0.7442,0.1067,0.3915,0.0886,0.7936,0.0971,0.4299,0.043,-0.1083,0.0368,0.299,0.0417,0.12,0.0724,0.1508,0.0744,0.2521,0.0704,0.2061,0.0539,0.0988,0.1444
738975515851028736,4971.0,19.4,3.58,0.042,-0.5557,0.0139,-0.5541,0.0124,0.2903,0.1403,0.0105,0.0376,-0.2322,0.0395,0.3301,0.051,0.3436,0.0236,0.252,0.042,0.2238,0.0296,0.1936,0.035,0.1535,0.0498,-0.269,0.0348,0.1324,0.0308,-0.4781,0.1752
739131199825858688,4593.4,13.9,4.618,0.025,-0.4345,0.01,-0.4385,0.0095,0.2121,0.0477,0.0013,0.0188,,,0.2313,0.0159,0.2586,0.0155,0.2199,0.0188,0.1423,0.0146,0.1274,0.0154,0.0199,0.0313,-0.1354,0.0238,0.0555,0.0175,,
755055731673515008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
764971780367451136,4901.7,21.8,2.38,0.059,-1.2903,0.0174,-1.3028,0.0168,0.2557,0.0222,-0.0014,0.0669,-0.5107,0.3483,0.3044,0.071,0.2237,0.0354,-0.2654,0.0483,0.2831,0.0402,0.3385,0.058,-0.1631,0.0678,-0.5585,0.0568,-0.0247,0.0485,-0.1298,0.1729
778546801895862528,4596.8,8.2,2.244,0.028,-0.6214,0.0088,-0.6189,0.0077,0.2749,0.0077,0.0651,0.0166,0.0738,0.0193,0.3291,0.0177,0.3373,0.0143,0.3094,0.0208,0.2313,0.0159,0.1794,0.0179,0.1323,0.0227,-0.1739,0.0191,0.0775,0.0151,-0.1464,0.057
781077087389301376,4586.5,18.0,1.166,0.064,-1.5775,0.0197,-1.6075,0.0192,0.2003,0.0251,-0.6154,0.0664,0.1257,0.061,0.2909,0.0549,0.1732,0.04,-0.2988,0.0504,0.1613,0.0427,0.2047,0.0662,-0.1634,0.0653,,,-0.047,0.0551,-0.2814,0.1233
782018436845902080,4395.2,9.5,1.723,0.034,-0.5989,0.012,-0.6105,0.0103,0.1539,0.0095,-0.0312,0.0199,0.0924,0.0224,0.1943,0.0196,0.1574,0.0181,0.0091,0.0303,0.105,0.0209,0.0724,0.024,-0.0336,0.0285,-0.1194,0.0251,-0.0132,0.021,-0.0993,0.0669
785218153121586688,3974.9,5.2,1.224,0.026,-0.5091,0.0097,-0.502,0.008,0.3235,0.0064,0.1758,0.0116,0.1175,0.0136,0.3575,0.0105,0.3708,0.0131,0.215,0.0214,0.2554,0.0144,0.1613,0.0157,0.2564,0.0172,-0.076,0.0168,0.0876,0.0135,,
