source_id,Teff,e_Teff,logg,e_logg,__Fe_H_,e__Fe_H_,__alpha_Fe_,e__alpha_Fe_,__C_Fe_,e__C_Fe_,__O_Fe_,e__O_Fe_,__Mg_Fe_,e__Mg_Fe_,__Al_Fe_,e__Al_Fe_,__Si_Fe_,e__Si_Fe_,__Ca_Fe_,e__Ca_Fe_,__Ti_Fe_,e__Ti_Fe_,__Mn_Fe_,e__Mn_Fe_,__Ni_Fe_,e__Ni_Fe_,__Ba_Fe_,e__Ba_Fe_,__Eu_Fe_,e__Eu_Fe_
2545450099263088000,4634.69,116.14,2.199548,0.332609,-0.637174,0.09728,0.216598,0.0497001,,,0.549792,0.1761365,0.344807,0.1287041,-0.104235,0.0962653,0.119475,0.0860167,0.336775,0.1033912,0.06763,0.0851716,0.015474,0.130157,0.066317,0.1032897,0.015672,0.1333659,0.533223,0.1218427
2550763901521292032,4162.1,94.01,4.471215,0.189818,-0.630669,0.098512,0.17965,0.0628446,,,,,1.093976,0.1652062,0.41592,0.0925555,0.913222,0.0818306,0.149936,0.0994057,0.199433,0.0811106,-0.141315,0.1217972,-0.13063,0.1162647,-0.314763,0.1268796,,
2551618187696050560,4511.54,81.47,1.275641,0.315799,-1.558291,0.055778,-0.057774,0.0192961,,,,,-0.132606,0.0382246,,,-0.022921,0.0340716,0.024806,0.0444693,-0.090204,0.0397087,-0.494139,0.0382479,-0.338406,0.0433647,0.421611,0.0493757,0.28866,0.0604686
2554566906082928896,5060.46,173.76,2.420032,0.262606,-1.576113,0.197068,0.222677,0.1019102,,,0.566376,0.2075985,0.109538,0.1801453,0.850783,0.1149199,0.457538,0.1083248,0.275926,0.1235869,,,-0.236466,0.1764651,0.317789,0.1822803,0.028127,0.1674921,1.064932,0.1357971
2557813076724955520,6110.18,163.71,4.020527,0.210318,-1.359179,0.457772,,,,,0.472111,0.2571402,0.815238,0.2814552,1.289886,0.1442774,,,,,,,0.211592,0.2628514,,,0.69445,0.2256584,,
2558587476508131072,4966.02,106.82,2.257949,0.32004,-0.879217,0.09419,0.064093,0.0421488,,,0.301754,0.1501505,0.024744,0.0940206,-0.167383,0.0808493,0.050817,0.0692191,0.135515,0.0869064,0.043531,0.0959327,-0.477297,0.0973648,-0.094843,0.0880394,0.592756,0.107139,0.337764,0.1223475
2581881592415406592,4892.13,109.95,2.818563,0.244239,-0.505835,0.08756,0.143081,0.0405414,,,0.607426,0.1590692,-0.017323,0.1051144,0.257671,0.0861411,0.100581,0.0748042,0.119602,0.0925415,0.254819,0.0670502,0.033238,0.1080369,-0.034414,0.0933565,0.078069,0.1159211,0.078903,0.1134898
2595012784907936640,5159.31,71.96,3.166933,0.182314,-1.016112,0.045903,0.17027,0.014307,,,0.44028,0.0561179,0.241851,0.0324281,,,0.150033,0.0269892,0.34142,0.030237,0.015299,0.0261007,-0.610195,0.0300397,-0.155802,0.0337602,0.170497,0.0361639,,
2600534356208388096,4856.22,177.79,2.508227,0.252215,-0.199074,0.125445,0.217058,0.0565622,,,-0.016489,0.1983867,0.438417,0.1640295,0.091095,0.109459,0.248469,0.1015862,0.21841,0.11765,0.110064,0.0970121,0.109231,0.1621888,0.182801,0.1561785,0.552234,0.1572539,0.572503,0.1832427
2608870857665531776,5333.69,136.69,2.757831,0.242879,-2.188266,0.263038,,,,,1.269821,0.1840592,0.603121,0.1406943,1.703727,0.1009637,1.164875,0.0914418,0.578071,0.1084544,,,0.095064,0.1411573,,,0.018102,0.1417298,2.222928,0.1255157
