source_id,Teff,e_Teff,logg,e_logg,__Fe_H_,e__Fe_H_,__alpha_Fe_,e__alpha_Fe_,__C_Fe_,e__C_Fe_,__O_Fe_,e__O_Fe_,__Mg_Fe_,e__Mg_Fe_,__Al_Fe_,e__Al_Fe_,__Si_Fe_,e__Si_Fe_,__Ca_Fe_,e__Ca_Fe_,__Ti_Fe_,e__Ti_Fe_,__Mn_Fe_,e__Mn_Fe_,__Ni_Fe_,e__Ni_Fe_,__Ba_Fe_,e__Ba_Fe_,__Eu_Fe_,e__Eu_Fe_
40233093262803712,6664.9,176.52,4.385563,0.204752,,,,,,,,,,,,,,,,,,,,,,,,,,
56993395681126272,5677.31,94.35,4.039487,0.185233,-0.605898,0.086603,0.24666,0.0369725,0.44451,0.1315418,0.42377,0.1370703,0.32642,0.0793067,0.288934,0.0730861,0.250033,0.0613956,0.227159,0.0786902,0.17513,0.0828268,-0.132011,0.0828631,0.112267,0.0857454,-0.357895,0.0947117,,
65354941093231360,3534.78,89.81,0.516265,0.420551,-1.240236,0.279448,,,,,,,,,,,,,,,,,,,,,,,,
598463530460260608,5683.73,144.18,4.206756,0.203315,-0.767179,0.178673,0.336607,0.0810863,,,0.805821,0.2260976,0.439807,0.2151073,0.3767,0.1258843,0.330017,0.1223409,0.256479,0.1355627,0.614378,0.3287542,-0.314035,0.206862,0.181614,0.2013325,-0.875444,0.1886223,,
601382974349653632,4537.82,129.27,2.037551,0.321131,-0.897538,0.113833,0.323282,0.055674,,,1.663334,0.1926691,0.460789,0.1544636,0.128735,0.1060691,0.267902,0.0974878,0.260295,0.1139746,0.373152,0.1007544,-0.331075,0.1536227,-0.080711,0.1126313,0.161431,0.150999,0.690653,0.1293793
602098756419249024,5005.68,216.99,3.103951,0.288424,-0.447574,0.201923,0.360337,0.1083901,1.249287,0.2088842,0.284132,0.2669056,,,0.176842,0.1500621,-0.029203,0.1553669,0.465249,0.1622034,2.498453,0.4194971,0.483807,0.2817093,-0.176519,0.2437143,-0.415172,0.2376889,0.910495,0.19908
609201945132157312,5491.31,84.16,3.602308,0.185811,-1.762804,0.109255,0.477872,0.0356509,,,0.873166,0.1153521,0.06727,0.0933215,,,0.571312,0.0519869,0.39446,0.0651976,0.960562,0.122441,0.070247,0.0850379,,,0.074272,0.0754162,,
611725599195677184,4489.62,92.58,1.607438,0.340918,-0.953022,0.073599,0.216183,0.0326398,,,,,0.280063,0.0766758,-0.191237,0.0715836,0.092309,0.059935,0.349211,0.0771076,0.266779,0.0523179,-0.414421,0.0802198,-0.081799,0.0785048,0.413115,0.0923731,0.371477,0.1001513
636393142564114688,4856.42,107.95,2.362495,0.28863,-0.588094,0.091434,0.280068,0.0436813,,,0.673725,0.1595979,0.295083,0.1057989,0.231044,0.0864548,0.284552,0.0751414,0.314235,0.0928764,0.186811,0.0735046,-0.159492,0.108689,-0.018912,0.093669,0.429751,0.1164492,0.154648,0.1250789
653770752045220608,4854.68,137.3,2.251543,0.28638,-1.302863,0.145196,0.300913,0.0746867,,,0.660705,0.2062471,0.072624,0.1777268,0.412191,0.1141188,0.300438,0.1073259,0.325854,0.1227147,0.238925,0.195919,-0.380708,0.1743344,-0.225395,0.1808928,0.30322,0.1659779,0.741155,0.1352297
