source_id,APOGEE,HRV,e_HRV,s_HRV,Nvis,FlRV,SNR
4449881101308578048,2M16055218+0553537,-58.9741,0.0731,0.0532,3,0,144.263
4574214529012009344,2M17220405+2735069,-170.063,0.0245,1.4379,3,0,397.454
4650154155016136960,2M05593947-7353144,203.3682,0.0609,0.0,1,0,91.32
4662597225031152768,2M04422641-6607498,179.1075,0.0465,0.0,1,0,167.189
4665621874133566592,2M04511166-6119088,206.7555,0.0467,0.0,1,0,203.726
4758954541429068160,2M05474718-6022097,191.0478,0.0416,0.0,1,0,424.659
5190241413398589312,2M08221494-8522087,197.8052,0.0285,1.2226,3,0,504.982
5190928676886233216,2M10444002-8445270,183.1903,0.0282,0.03,3,0,340.828
5283409699413136768,2M06290841-6655337,234.8094,0.0287,0.0,1,0,181.398
5499247057459764608,2M06000493-5613351,207.8145,0.0247,0.0,1,0,258.071
5817948134948146304,2M16492763-6323073,138.4142,0.0302,0.0466,3,0,201.049
