source_id,APOGEE,HRV,e_HRV,s_HRV,Nvis,FlRV,SNR
66601512401466368,2M03531256+2430452,-47.0144,0.0765,0.0749,4,0,139.74
77358206452039808,2M02095371+1429324,-78.0473,0.041,0.1018,3,0,169.682
339385433809052160,2M02203959+4248222,-121.9041,0.0422,0.2131,3,0,331.735
578164376851522560,2M09001018+0242176,154.0113,0.0485,0.0311,3,0,253.92
609201945132157312,2M08405986+1350357,113.5537,0.1967,0.0062,2,0,80.472
684255227319472000,2M08171751+2901450,42.1365,0.0416,0.0817,3,0,258.194
764971780367451136,2M11104417+3936064,11.6359,0.1371,0.8357,6,0,80.706
810445730162365312,2M10101989+4624420,-24.4144,0.0403,0.0121,2,0,174.592
880132845850389632,2M07422571+3131124,28.9677,0.0563,0.1836,3,0,194.185
997917062607474176,2M06171714+5543394,-62.3529,0.0347,0.0874,2,0,285.395
1178304520808040576,2M14445836+1128065,-22.4199,0.0441,0.2566,4,0,127.891
1184856617972914432,2M14445488+1333399,-46.3945,0.0435,0.1956,4,0,89.847
1278201616118918912,2M15130041+3228154,-92.867,0.0457,1.9466,3,0,138.207
1299773862457979392,2M16422549+2404428,-130.547,0.0569,0.0,1,0,123.43
1306088976211516032,2M16542564+2509590,-127.3477,0.038,0.0,1,0,323.328
1338748491647110400,2M16590949+3451567,-152.9965,0.1378,0.19,3,0,83.519
1384472472959982336,2M16023066+4310140,-145.063,0.0319,0.1008,5,0,134.703
1386599375124328320,2M16135999+4541339,-154.038,0.0297,0.0608,3,0,208.779
1424779091765210496,2M16142052+5200218,-183.4775,0.0536,0.2373,3,0,98.936
1438146507459250560,2M16500409+6025448,-201.422,0.0998,0.0999,2,0,380.901
1498328276406265216,2M14080222+4133082,-81.8614,0.0448,0.0,1,0,166.264
1520049815806447616,2M12433927+3624490,-25.3274,0.0253,0.0645,6,0,369.134
1547115909436052352,2M12200400+4922309,-68.0685,0.0457,0.2325,3,0,181.492
1564840586628128384,2M13061398+5618324,-98.5032,0.068,0.1379,9,0,163.119
1571936589859484032,2M12274117+5231017,-76.9501,0.0383,0.0,1,0,189.593
1590327094361257856,2M14473662+4752186,-136.7036,0.0447,0.0497,4,0,105.179
1592068063648300800,2M15021655+4851480,-134.4133,0.0227,0.0295,3,0,334.107
1745758318670925568,2M21295155+1128069,-203.2998,0.0434,0.1896,4,0,231.858
1826249132580196352,2M19541737+2000076,-204.5974,0.1178,0.1141,3,0,108.394
2005238935368121728,2M22065012+5308220,-243.881,0.0225,0.0,1,0,224.076
2103585135164839808,2M18541101+4044083,-223.3822,0.0285,0.0,1,0,135.035
2289237329915126144,2M19245279+7442296,-214.0417,0.0311,0.1401,2,0,204.129
2417169076922869376,2M00171331-1419550,-57.8691,0.2066,0.5994,5,0,105.776
2621237610403621632,2M22325317-0852205,-114.9756,0.0207,0.0,1,0,401.995
2712478319387225600,2M22520586+0706104,-163.1129,0.4381,0.0,1,0,4.824
2713355489148180480,2M22510228+0853285,-148.6099,0.0781,0.3998,4,0,99.539
2728314787225296000,2M22054069+1222364,-203.4446,0.1248,0.1556,3,0,56.877
2729064001321068160,2M22060988+1332228,-195.4534,0.0431,0.0959,3,0,128.384
2770680108412906496,2M23522499+1452082,-178.1332,0.0285,0.0744,2,0,360.855
3614617954891437824,2M14044776-1009104,79.2405,0.0374,0.0115,2,0,106.675
3681811580070393344,2M12452637-0355347,84.8685,0.0373,0.0574,3,0,209.24
3682235927134907392,2M12453906-0239497,96.05,0.4198,0.8762,14,0,91.51
3760901822278397952,2M10390728-1036514,163.4562,0.0371,0.4704,4,0,297.867
3802309331396474752,2M10492460-0252290,147.5906,0.041,1.822,6,0,244.731
3945215125401978240,2M12234848+1507014,12.8418,0.088,4.4075,3,0,68.779
3960170579483242496,2M12242300+2445121,8.9761,0.0491,0.0805,5,0,146.422
3992121768910622464,2M11160253+2330163,56.5806,0.0282,0.0062,2,0,316.238
4138335134426278144,2M17240946-1353224,-43.5843,0.022,0.2636,6,0,444.031
4138358395969702272,2M17260795-1339155,-56.8773,0.0379,0.1054,3,0,142.875
4179691786828215424,2M19283840-1757290,-98.8952,0.0631,0.0,1,0,42.37
4449881101308578048,2M16055218+0553537,-58.9741,0.0731,0.0532,3,0,144.263
4574214529012009344,2M17220405+2735069,-170.063,0.0245,1.4379,3,0,397.454
4650154155016136960,2M05593947-7353144,203.3682,0.0609,0.0,1,0,91.32
4662597225031152768,2M04422641-6607498,179.1075,0.0465,0.0,1,0,167.189
4665621874133566592,2M04511166-6119088,206.7555,0.0467,0.0,1,0,203.726
4758954541429068160,2M05474718-6022097,191.0478,0.0416,0.0,1,0,424.659
5190241413398589312,2M08221494-8522087,197.8052,0.0285,1.2226,3,0,504.982
5190928676886233216,2M10444002-8445270,183.1903,0.0282,0.03,3,0,340.828
5283409699413136768,2M06290841-6655337,234.8094,0.0287,0.0,1,0,181.398
5499247057459764608,2M06000493-5613351,207.8145,0.0247,0.0,1,0,258.071
5817948134948146304,2M16492763-6323073,138.4142,0.0302,0.0466,3,0,201.049
6030154733790653696,2M17013595-2820293,0.5001,0.025,0.0641,2,0,153.345
6031878394370598528,2M16360731-2943094,33.4978,0.0287,0.1683,3,0,283.345
6301684902703023360,2M13565610-1525370,81.3657,0.0294,0.0,1,0,160.597
6593097166721332608,2M21423948-3111524,-28.1769,0.0935,0.0,1,0,83.387
6638402508990295168,2M19115711-5930563,89.8683,0.133,0.3613,5,0,121.539
6734670490101221504,2M18323838-3446555,-26.8583,0.0275,0.0641,7,0,423.085
