external_survey,source_id,tier,P_vgrf_below_25,vgrf_default,radial_velocity,radial_velocity_error,external_rv_kms,external_rv_error_kms,delta_rv_kms,APOGEE,GALAH,Nvis,FlRV,SNR,redflag
APOGEE,66601512401466368,B,0.884,21.858130320833627,-47.907074,1.6973825,-47.0144,0.0765,-0.8926739999999995,2M03531256+2430452,,4.0,0.0,139.74,
APOGEE,77358206452039808,A,0.972,11.329471409612726,-81.13414,2.4726615,-78.0473,0.041,-3.086839999999995,2M02095371+1429324,,3.0,0.0,169.682,
APOGEE,339385433809052160,C,0.5832,22.908058402720837,-123.27988,1.5845181,-121.9041,0.0422,-1.375780000000006,2M02203959+4248222,,3.0,0.0,331.735,
APOGEE,578164376851522560,C,0.511,24.80335623993473,154.16667,0.87455314,154.0113,0.0485,0.1553700000000049,2M09001018+0242176,,3.0,0.0,253.92,
APOGEE,609201945132157312,A,1.0,4.157889875560558,114.166565,2.1388378,113.5537,0.1967,0.6128649999999993,2M08405986+1350357,,2.0,0.0,80.472,
APOGEE,684255227319472000,C,0.6852,21.99432959073135,42.053474,0.6750105,42.1365,0.0416,-0.08302599999999671,2M08171751+2901450,,3.0,0.0,258.194,
APOGEE,764971780367451136,C,0.754,13.343569683033836,1.3719774,5.651606,11.6359,0.1371,-10.263922599999999,2M11104417+3936064,,6.0,0.0,80.706,
APOGEE,810445730162365312,C,0.828,7.813975330136196,-25.496412,1.1858298,-24.4144,0.0403,-1.0820119999999989,2M10101989+4624420,,2.0,0.0,174.592,
APOGEE,880132845850389632,C,0.836,13.999402035472698,29.814804,1.4172546,28.9677,0.0563,0.8471039999999981,2M07422571+3131124,,3.0,0.0,194.185,
APOGEE,997917062607474176,C,0.5641,23.4882121542414,-62.550323,0.46096992,-62.3529,0.0347,-0.19742300000000057,2M06171714+5543394,,2.0,0.0,285.395,
APOGEE,1178304520808040576,B,0.908,13.743053497391296,-23.9004,1.4245579,-22.4199,0.0441,-1.4805000000000028,2M14445836+1128065,,4.0,0.0,127.891,
APOGEE,1184856617972914432,C,0.629,14.93875342320384,-47.744843,3.0979981,-46.3945,0.0435,-1.3503430000000023,2M14445488+1333399,,4.0,0.0,89.847,
APOGEE,1278201616118918912,C,0.5572,19.63130072960359,-94.85404,1.1706177,-92.867,0.0457,-1.9870399999999933,2M15130041+3228154,,3.0,0.0,138.207,
APOGEE,1299773862457979392,C,0.7453,23.53707373443356,-129.64323,0.52798665,-130.547,0.0569,0.9037700000000086,2M16422549+2404428,,1.0,0.0,123.43,
APOGEE,1306088976211516032,C,0.581,24.83559332347604,-127.970726,0.23184325,-127.3477,0.038,-0.6230259999999959,2M16542564+2509590,,1.0,0.0,323.328,
APOGEE,1338748491647110400,A,1.0,21.190669698327305,-152.44156,0.915787,-152.9965,0.1378,0.5549399999999878,2M16590949+3451567,,3.0,0.0,83.519,
APOGEE,1384472472959982336,C,0.758,21.193650647669497,-144.57649,1.0897276,-145.063,0.0319,0.48650999999998135,2M16023066+4310140,,5.0,0.0,134.703,
APOGEE,1386599375124328320,C,0.832,18.428506944787724,-152.58041,0.6672049,-154.038,0.0297,1.4575900000000104,2M16135999+4541339,,3.0,0.0,208.779,
APOGEE,1424779091765210496,B,0.916,14.637671589653172,-180.93947,3.8665016,-183.4775,0.0536,2.538029999999992,2M16142052+5200218,,3.0,0.0,98.936,
APOGEE,1438146507459250560,A,1.0,18.833521019311608,-202.7108,0.18672566,-201.422,0.0998,-1.288800000000009,2M16500409+6025448,,2.0,0.0,380.901,
APOGEE,1498328276406265216,C,0.5422,23.646339643132503,-81.70101,0.4523019,-81.8614,0.0448,0.1603900000000067,2M14080222+4133082,,1.0,0.0,166.264,
APOGEE,1520049815806447616,C,0.774,17.777472716980878,-25.408024,0.45213693,-25.3274,0.0253,-0.08062400000000025,2M12433927+3624490,,6.0,0.0,369.134,
APOGEE,1547115909436052352,C,0.655,21.842932900179942,-65.3405,0.74901825,-68.0685,0.0457,2.7279999999999944,2M12200400+4922309,,3.0,0.0,181.492,
APOGEE,1564840586628128384,C,0.6224,15.417584857843734,-95.87181,3.3737786,-98.5032,0.068,2.6313900000000103,2M13061398+5618324,,9.0,0.0,163.119,
APOGEE,1571936589859484032,C,0.6078,22.257469938472543,-76.9224,0.39997092,-76.9501,0.0383,0.02770000000001005,2M12274117+5231017,,1.0,0.0,189.593,
APOGEE,1590327094361257856,B,0.898,17.506454469957383,-136.84825,1.670825,-136.7036,0.0447,-0.14465000000001282,2M14473662+4752186,,4.0,0.0,105.179,
APOGEE,1592068063648300800,C,0.6296,21.97214750656794,-134.60522,0.27147117,-134.4133,0.0227,-0.1919200000000103,2M15021655+4851480,,3.0,0.0,334.107,
APOGEE,1745758318670925568,B,0.908,13.978218815124164,-202.8699,0.56511486,-203.2998,0.0434,0.4299000000000035,2M21295155+1128069,,4.0,0.0,231.858,
APOGEE,1826249132580196352,A,0.974,8.124499283150444,-209.39372,5.1853275,-204.5974,0.1178,-4.796320000000009,2M19541737+2000076,,3.0,0.0,108.394,
APOGEE,2005238935368121728,C,0.764,22.928983874030333,-244.36218,0.3449281,-243.881,0.0225,-0.48117999999999483,2M22065012+5308220,,1.0,0.0,224.076,
APOGEE,2103585135164839808,B,0.8823,23.34641839347488,-222.81062,0.55399865,-223.3822,0.0285,0.5715800000000115,2M18541101+4044083,,1.0,0.0,135.035,
APOGEE,2289237329915126144,C,0.5993,23.787191298870862,-216.74118,1.4368191,-214.0417,0.0311,-2.6994800000000225,2M19245279+7442296,,2.0,0.0,204.129,
APOGEE,2417169076922869376,C,0.5891,23.449140072746975,-57.031536,2.7100844,-57.8691,0.2066,0.8375640000000004,2M00171331-1419550,,5.0,0.0,105.776,
APOGEE,2621237610403621632,C,0.601,14.954478168061152,-115.14248,0.6012054,-114.9756,0.0207,-0.16688000000000613,2M22325317-0852205,,1.0,0.0,401.995,
APOGEE,2712478319387225600,A,1.0,7.117114387160339,-161.81107,2.1321514,-163.1129,0.4381,1.3018299999999954,2M22520586+0706104,,1.0,0.0,4.824,
APOGEE,2713355489148180480,C,0.6164,19.962115386075677,-148.44476,4.3682528,-148.6099,0.0781,0.16514000000000806,2M22510228+0853285,,4.0,0.0,99.539,
APOGEE,2728314787225296000,B,0.9491,23.60848874463828,-202.65321,0.56685245,-203.4446,0.1248,0.7913900000000069,2M22054069+1222364,,3.0,0.0,56.877,
APOGEE,2729064001321068160,A,0.994,10.31026112729796,-195.92523,2.3533838,-195.4534,0.0431,-0.4718300000000113,2M22060988+1332228,,3.0,0.0,128.384,
APOGEE,2770680108412906496,C,0.5351,24.608109740932463,-177.92772,0.38945535,-178.1332,0.0285,0.20547999999999433,2M23522499+1452082,,2.0,0.0,360.855,
APOGEE,3614617954891437824,C,0.736,19.31030352186182,77.75641,2.1728528,79.2405,0.0374,-1.4840899999999948,2M14044776-1009104,,2.0,0.0,106.675,
APOGEE,3681811580070393344,B,0.928,20.920891214270277,84.6531,1.6691574,84.8685,0.0373,-0.21540000000000248,2M12452637-0355347,,3.0,0.0,209.24,
