source_id,GALAH,RVgalah,e_RVgalah,redflag,snrc1iraf,snrc2iraf,snrc3iraf,snrc4iraf
3181152499415837056,181222001801006,116.776001,0.095,0,10.6441,26.9819,54.5894,
3185620781529427328,171001003401181,95.491997,0.062,0,46.4896,69.464,95.6396,103.0884
3198192769278928896,161211002601039,92.158997,0.097,0,20.6183,30.6388,41.7177,52.4479
3203188743957945344,160815004801137,69.655998,0.327,0,19.977,28.7624,27.4244,30.8659
3254098468785655808,160923004701384,51.624001,0.143,0,22.394,18.2536,22.9733,17.1282
3287575368035203456,161104003801232,40.161999,0.15,1,48.2409,51.9443,85.7194,84.2577
3462381464696611840,150207004101258,174.960999,0.103,1,34.301,51.3472,64.9676,84.8805
3582334231916457728,190209003601220,122.025726,0.688547,0,4.044,9.8497,26.1768,23.9312
3583275654387487488,170127003001067,130.669006,0.086,0,20.2659,31.3571,38.9628,52.9056
3799290794021416832,150409005601348,125.491997,0.076,0,31.5639,35.6517,43.5336,59.947
4247141258918067584,160524006601078,-156.817993,0.083,0,35.1852,40.9729,42.3116,53.6352
