APOGEE,source_id,gaia_parent_contract,release_parent_pool,release_tier,release_vgrf_default,release_P_vgrf_below_25,diagnostic_vgrf_default,diagnostic_P_vgrf_below_25,diagnostic_tier,diagnostic_mc_realisations,filion_style_vphi_apogee_kms,diagnostic_rv_quality,release_rv_quality,radial_velocity_error,rv_nb_transits,rv_chisq_pvalue,ruwe,ruwe_gt_1p4,rv_variable_flag,nss_match,HRV,e_HRV,SNR,__Fe_H_,__Mg_Fe_,__Al_Fe_,__Mn_Fe_
2M00014230+1702419,2772907547169757312,True,False,,,,119.32579359941069,0.0,X,500,48.92936630190129,ok,,1.6335393,18,,1.0148791,False,False,False,-168.8459,0.0369,168.06,-0.4979,0.0925,0.045,-0.1624
2M00303867+1549501,2780801456541634432,True,False,,,,107.26426083071976,0.0,X,500,-11.753046621029007,ok,,0.63947356,36,,0.9737285,False,False,False,-196.5151,0.0265,160.708,-0.1054,0.0896,0.0298,-0.0103
2M01231405-0102329,2533480643884105088,True,False,,,,83.04181577649453,0.0,X,500,-31.31594943180482,ok,,0.77466697,16,0.71940833,1.0338815,False,False,False,-101.3783,0.0318,140.27,-0.3012,0.0898,0.0259,-0.0515
2M01244485+1453267,2590583642833617792,True,False,,,,102.70634809026971,0.0,X,500,-28.16208979479217,poor,,0.41237444,23,0.0003587012,1.378732,False,True,False,-98.5594,0.0211,528.846,-0.357,0.1577,0.0754,-0.0749
2M01590930+3802046,342902565347448832,True,False,,,,60.65810804484868,0.0,X,500,-55.45080548551489,ok,,0.86806715,11,,1.0718478,False,False,False,-86.502,0.0284,55.083,0.3175,0.0688,-0.0088,0.1357
2M04022073-7023289,4665992963603759232,True,False,,,,116.88954165895224,0.0,X,500,-54.10658724303321,ok,,4.135315,22,,0.86912674,False,False,False,82.3639,0.0603,55.633,-0.4924,0.1883,0.1955,-0.0838
2M04215815-6157227,4676622148668768128,True,False,,,,111.52952596773292,0.0,X,500,5.01534168562637,ok,,2.1457129,21,,1.1626482,False,False,False,125.3604,0.0505,92.482,-0.599,0.1186,0.0588,-0.1661
2M06234629-7005024,5278703789648610176,True,False,,,,227.14054967671714,0.0,X,500,4.67132407151117,ok,,2.1577094,22,,0.95910454,False,False,False,116.0715,0.0284,87.791,-0.1009,0.0244,0.0115,-0.014
2M07472456+5311408,984473333935142784,True,False,,,,52.84996104351362,0.0,X,500,-50.76342220119839,ok,,1.4916922,13,,1.0570023,False,False,False,-31.9781,0.027,196.47,-0.3239,0.1573,0.0949,-0.0684
2M08372116-8537442,5190172041086903424,True,False,,,,138.70705517810524,0.0,X,500,30.854695191689387,ok,,0.20836776,17,0.046728574,1.0358135,False,False,False,289.7056,0.029,604.81,-0.4674,0.1007,0.0594,-0.0921
2M09191140+3346373,702298419290918272,True,False,,,,83.84566860078586,0.0,X,500,-13.112307981611236,ok,,0.9968052,28,0.17336297,0.90241444,False,False,False,-45.6377,0.049,131.021,-0.6971,0.1829,0.0916,-0.2002
2M09460164+3322570,794363929499288704,True,False,,,,182.13608296562734,0.0,X,500,34.84176857447259,ok,,0.93499386,29,,0.92289084,False,False,False,141.0428,0.0308,158.573,-0.2909,0.1571,0.0533,-0.0595
2M10391298+2948411,735394337760170368,True,False,,,,100.78682830788325,0.0,X,500,-48.747230067347914,ok,,2.4550517,16,,1.0100411,False,False,False,53.2898,0.04,58.996,0.0018,0.0614,0.0921,0.0461
2M10475148-4448333,5390812194236343552,True,False,,,,90.15048047384788,0.0,X,500,-60.00780734806158,ok,,0.55937827,31,0.49358818,0.96138984,False,False,False,192.0877,0.0226,306.048,-0.3714,0.1302,0.0358,-0.0345
2M11291121-8501189,5191035943691232384,True,False,,,,156.98539307578514,0.0,X,500,-9.034348318595043,ok,,0.39434406,18,0.85358876,1.1168977,False,False,False,241.7553,0.0274,230.601,-0.5532,0.1379,0.0206,-0.0966
2M12325862+3626584,1519487759206276608,True,False,,,,76.35836502585228,0.0,X,500,-43.57609864932279,ok,,1.174648,21,,1.0197345,False,False,False,4.5109,0.0293,172.255,-0.094,0.074,0.003,-0.0425
2M12414587+4926490,1543590772075979648,True,False,,,,74.66096653045683,0.0,X,500,-17.95035424676792,ok,,1.483391,37,,0.9108186,False,False,False,-112.0498,0.0415,76.015,-0.659,0.1414,0.116,-0.1069
2M13001371+5217200,1557656377652329984,True,False,,,,133.69185430959976,0.0,X,500,-48.81656094528952,ok,,1.088374,34,0.2762833,0.9488029,False,False,False,-148.4408,0.0294,127.753,-0.6051,0.0968,0.0692,-0.1513
2M13020472+5743438,1577033723903144064,True,False,,,,118.15740547884934,0.0,X,500,-19.169527740294043,ok,,1.1709065,25,0.28110915,1.0570548,False,False,False,-88.9026,0.0303,362.651,-0.3754,0.1682,0.0825,-0.0936
2M13041724-0134399,3685921348377044480,True,True,X,27.54140549311156,0.3644,27.54140594636807,0.384,X,5000,-37.496425627166914,ok,ok,1.1702416,18,,0.95268583,False,False,False,70.7754,0.0316,207.731,-0.5034,0.0867,0.0314,-0.1079
2M13123688+1801404,3937268679991043072,True,False,,,,65.65517821306841,0.0,X,500,-1.640219880373329,ok,,0.46027735,24,0.2651572,1.0182457,False,False,False,-33.9607,0.0284,369.763,-0.3866,0.0968,0.0211,-0.0888
2M13323559-0118149,3638518898137707008,True,False,,,,177.22426504649835,0.0,X,500,-37.73065478897903,ok,,1.0216746,29,,0.90359414,False,False,False,46.9683,0.0422,138.252,-0.6727,0.1326,0.0274,-0.1006
2M13381907+2938588,1455949868455404032,True,False,,,,123.0800459555143,0.0,X,500,1.3196507588411153,ok,,0.6245623,28,0.52470315,0.8950695,False,False,False,46.2023,0.0231,293.957,-0.4636,0.1397,0.1116,-0.1071
2M13403109-1550124,3605457064526925440,True,False,,,,123.2058632817276,0.0,X,500,-42.078734925735965,ok,,4.7925663,12,,0.9956306,False,False,False,140.4993,0.0403,118.632,-0.293,0.1322,0.0519,-0.0937
2M13423397+2745255,1454699895538183296,True,False,,,,83.80104294050805,0.0,X,500,20.045274706207767,ok,,0.81207246,27,0.19422157,0.9609649,False,False,False,-5.7802,0.0264,160.491,-0.1448,0.086,0.1321,-0.0428
2M13453784-1539189,3605334434620842880,True,False,,,,149.26147900185356,0.0,X,500,51.65558792952534,ok,,3.7698464,11,,0.99862456,False,False,False,131.9475,0.0528,128.355,-0.5942,0.2009,0.1524,-0.0943
2M13481254-0053486,3662001167972062080,True,False,,,,165.7317401573567,0.0,X,500,-61.99938379483586,ok,,2.8797557,12,,0.97321653,False,False,False,11.2797,0.0543,93.897,-0.376,0.0882,-0.0186,-0.0887
2M14003743+0334382,3670797432793033600,True,False,,,,102.66398460889592,0.0,X,500,40.039080028312945,ok,,1.6782185,13,,0.9860163,False,False,False,72.458,0.0401,141.571,-0.3995,0.1101,0.1035,-0.0682
2M14005878+0123010,3661257382715778048,True,False,,,,152.06447037889788,0.0,X,500,-42.33939456561492,ok,,2.3049076,12,,1.0210449,False,False,False,-28.3266,0.1063,4.467,,,,
2M14025155+4747385,1509389569539837824,True,False,,,,103.74387347315371,0.0,X,500,20.803009120485303,ok,,1.2650292,30,,0.9741487,False,False,False,-63.0441,0.0385,96.37,-0.4464,0.1204,0.1444,-0.0881
2M14044997+0320333,3670552340483552128,True,False,,,,149.85557343109016,0.0,X,500,51.56770972819982,ok,,1.131707,15,0.57517016,0.88735867,False,False,False,-9.0016,0.0297,192.394,-0.2333,0.0519,0.1145,-0.0482
2M14070704+5411394,1609049234761962880,True,False,,,,151.88239406664877,0.0,X,500,52.71659032072859,ok,,0.72025305,31,0.4179708,1.028074,False,False,False,-155.5615,0.0257,154.538,-0.1615,0.1714,0.1493,-0.021
2M14130012+0544007,3672982987031045888,True,False,,,,53.327292841857435,0.002,X,500,-58.65975414365579,ok,,4.1096597,12,,0.956465,False,False,False,-12.958,0.0464,106.948,-0.476,0.109,0.0711,-0.0985
2M14575158+5300140,1594059695819370624,True,True,X,39.99085100229661,0.09,39.990851367201806,0.104,X,500,15.164948259860589,ok,ok,1.1428993,26,0.6399096,1.167072,False,False,False,-137.7732,0.0262,155.159,-0.4805,0.1267,0.0105,-0.0766
2M15022633+3248296,1288956935783694464,True,True,X,47.61963446437088,0.0,47.619634497347235,0.0,X,500,-24.807897500565872,ok,ok,0.1932582,33,0.92425823,1.4076653,True,False,False,-102.096,0.0216,591.826,-0.1603,0.1265,0.0279,0.007
2M15023086+4212111,1393145901715973120,True,False,,,,77.55782354415108,0.0,X,500,20.967209940559528,ok,,0.23351891,28,0.370805,1.2057978,False,False,False,-88.9632,0.0273,464.093,0.3302,0.086,0.0679,0.235
2M15023130+5112297,1592948020844185344,True,False,,,,171.41780975710145,0.0,X,500,-5.691819886216357,ok,,0.77751803,29,,1.089762,False,False,False,-50.0151,0.0258,111.187,0.0988,-0.0037,0.0484,0.0587
2M15050196-4430509,5907481469868355200,True,False,,,,266.112982935533,0.0,X,500,-63.55019169935869,ok,,3.3623557,15,,0.9970281,False,False,False,168.9598,0.0495,115.404,-0.4952,0.1373,0.1187,-0.1372
2M15070607+2222028,1262028281110658304,True,False,,,,133.03978637837793,0.0,X,500,40.39160393182664,ok,,1.2689927,16,,1.0132085,False,False,False,-115.3939,0.037,158.71,-0.2237,0.0807,0.092,-0.0648
2M15104604+3158498,1276709510121021568,True,False,,,,135.3091139786745,0.0,X,500,-46.24203619059431,ok,,1.9938991,40,,0.95302993,False,False,False,-135.4695,0.0431,130.401,-0.5411,0.1426,0.144,-0.1506
2M15233167+0919257,1164158277220637568,True,False,,,,85.65599359224561,0.0,X,500,-56.07149728676408,ok,,2.480807,10,,1.1370071,False,False,False,-0.5079,0.047,99.349,-0.4881,0.1894,0.1754,-0.0894
2M15334993+0934139,1164743148687472640,True,False,,,,227.13099575653257,0.0,X,500,-62.07184392752818,ok,,1.759301,16,,1.0658247,False,False,False,164.6944,0.0292,147.739,-0.1499,0.0309,-0.0395,-0.0348
2M15490280+2650095,1223394706686358656,True,False,,,,85.54018636278991,0.0,X,500,-71.09692689184669,ok,,3.4299304,56,,1.355801,False,False,False,-91.8239,0.0723,104.135,-0.1383,0.1112,0.0487,-0.1383
2M15513506+2805029,1223778814201546624,True,False,,,,59.02986227135541,0.0,X,500,11.8161049018847,ok,,1.2071508,39,,1.0034748,False,False,False,-178.4058,0.0445,111.73,-0.303,0.0972,0.0598,-0.1315
2M15544945+2915314,1320055625740553088,True,False,,,,112.42491075029211,0.0,X,500,13.407868216859416,ok,,0.2703918,40,0.5556771,1.119517,False,False,False,-160.6699,0.0255,367.291,-0.5886,0.1264,0.0375,-0.1139
2M15572935+2608034,1220155511071314304,True,False,,,,161.60645080563918,0.0,X,500,53.35786903823555,ok,,1.1554478,59,,1.0989262,False,False,False,-105.9151,0.0338,112.499,-0.3609,0.125,0.1131,-0.1261
2M16003181-2139519,6243607775113554304,True,False,,,,61.534101078568945,0.0,X,500,-45.493811217128425,ok,,0.9005528,22,,1.1189716,False,False,False,-26.3407,0.026,170.062,-0.0158,0.103,0.0446,-0.0553
2M16013180+4056403,1383249506792469376,True,False,,,,200.19973398413325,0.0,X,500,-41.629262742639,ok,,0.8072901,19,,1.1030515,False,False,False,-26.1195,0.0287,70.162,0.3253,0.0299,0.0147,0.1673
2M16032054+3918321,1379691590244311296,True,False,,,,139.45710278437403,0.0,X,500,2.1498501302688644,ok,,21.106768,26,0.5062204,0.9973693,False,False,False,-109.8463,0.0361,90.987,-0.3869,0.1419,0.0417,-0.0242
2M16045588+2738536,1316438404285756672,True,False,,,,128.79569481198462,0.0,X,500,-26.288347046510108,poor,,0.31984028,36,0.0,1.2053934,False,True,True,-52.1727,0.0254,455.949,-0.5565,0.1103,0.0583,-0.076
2M16065591-2222130,6242537808558786176,True,False,,,,82.82018580826264,0.0,X,500,57.22349634789094,ok,,1.3178269,13,,1.1190583,False,False,False,3.3893,0.0225,166.577,-0.4593,0.0913,0.0557,-0.0805
2M16082687+1809497,1199877527357272960,True,False,,,,168.2616866534914,0.0,X,500,21.63233408459692,poor,,2.6727674,23,0.0,0.94788116,False,True,True,-240.4431,0.0313,174.266,-0.5119,0.1291,0.0547,-0.1198
