G_lo,G_hi,logd_lo,logd_hi,true_N,recovered_N,recovery_fraction
6.0,10.0,1.5,2.0,23,13,0.5652173913043478
6.0,10.0,2.0,2.5,83,42,0.5060240963855421
6.0,10.0,2.5,3.0,121,53,0.4380165289256198
6.0,10.0,3.0,3.5,12,6,0.5
6.0,10.0,3.5,4.0,0,0,
6.0,10.0,4.0,4.5,0,0,
10.0,12.0,1.5,2.0,22,8,0.36363636363636365
10.0,12.0,2.0,2.5,366,227,0.6202185792349727
10.0,12.0,2.5,3.0,570,335,0.5877192982456141
10.0,12.0,3.0,3.5,199,78,0.39195979899497485
10.0,12.0,3.5,4.0,20,0,0.0
10.0,12.0,4.0,4.5,0,0,
12.0,13.0,1.5,2.0,11,5,0.45454545454545453
12.0,13.0,2.0,2.5,245,147,0.6
12.0,13.0,2.5,3.0,996,700,0.7028112449799196
12.0,13.0,3.0,3.5,245,115,0.46938775510204084
12.0,13.0,3.5,4.0,30,11,0.36666666666666664
12.0,13.0,4.0,4.5,0,0,
13.0,14.0,1.5,2.0,11,5,0.45454545454545453
13.0,14.0,2.0,2.5,260,139,0.5346153846153846
13.0,14.0,2.5,3.0,2010,1364,0.6786069651741293
13.0,14.0,3.0,3.5,576,347,0.6024305555555556
13.0,14.0,3.5,4.0,111,36,0.32432432432432434
13.0,14.0,4.0,4.5,4,0,0.0
14.0,15.0,1.5,2.0,3,0,0.0
14.0,15.0,2.0,2.5,337,154,0.456973293768546
14.0,15.0,2.5,3.0,2207,1420,0.6434073402809243
14.0,15.0,3.0,3.5,1142,752,0.658493870402802
14.0,15.0,3.5,4.0,172,32,0.18604651162790697
14.0,15.0,4.0,4.5,2,0,0.0
15.0,16.0,1.5,2.0,0,0,
15.0,16.0,2.0,2.5,141,69,0.48936170212765956
15.0,16.0,2.5,3.0,51,24,0.47058823529411764
15.0,16.0,3.0,3.5,5,2,0.4
15.0,16.0,3.5,4.0,18,1,0.05555555555555555
15.0,16.0,4.0,4.5,0,0,
16.0,17.0,1.5,2.0,0,0,
16.0,17.0,2.0,2.5,0,0,
16.0,17.0,2.5,3.0,0,0,
16.0,17.0,3.0,3.5,0,0,
16.0,17.0,3.5,4.0,0,0,
16.0,17.0,4.0,4.5,0,0,
