l_bin,b_bin,G_bin,logg_bin,true_N,recovered_N,rvs_available_N,parallax_snr_N,median_sf_value,recovery_fraction
q1,10:30,<10,<2,1,0,1,0,0.5,0.0
q1,10:30,<10,2:3.5,3,1,1,3,0.5,0.3333333333333333
q1,10:30,10:12,<2,5,1,3,4,0.5,0.2
q1,10:30,10:12,2:3.5,3,1,2,3,0.5,0.3333333333333333
q1,10:30,10:12,3.5:4.5,10,9,9,10,0.775,0.9
q1,10:30,10:12,>4.5,2,0,0,2,0.7619047619047619,0.0
q1,10:30,12:14,<2,1,0,0,1,0.5,0.0
q1,10:30,12:14,2:3.5,9,5,5,9,0.5,0.5555555555555556
q1,10:30,12:14,3.5:4.5,69,59,62,69,0.875,0.855072463768116
q1,10:30,12:14,>4.5,12,7,8,12,0.8452380952380952,0.5833333333333334
q1,10:30,14:15,2:3.5,9,2,7,8,0.6666666666666666,0.2222222222222222
q1,10:30,14:15,3.5:4.5,43,36,39,43,0.8888888888888888,0.8372093023255814
q1,10:30,14:15,>4.5,25,18,19,25,0.6666666666666666,0.72
q1,10:30,15:16,>4.5,1,1,1,1,0.5,1.0
q1,>30,<10,<2,20,9,11,19,0.5,0.45
q1,>30,<10,2:3.5,38,14,15,38,0.5,0.3684210526315789
q1,>30,<10,3.5:4.5,29,17,17,29,0.5,0.5862068965517241
q1,>30,<10,>4.5,2,0,1,2,0.65,0.0
q1,>30,10:12,<2,21,5,16,14,0.5,0.23809523809523808
q1,>30,10:12,2:3.5,96,45,53,94,0.5,0.46875
q1,>30,10:12,3.5:4.5,241,144,160,241,0.6666666666666666,0.5975103734439834
q1,>30,10:12,>4.5,35,19,20,35,0.5,0.5428571428571428
q1,>30,12:14,<2,10,1,5,2,0.5,0.1
q1,>30,12:14,2:3.5,138,58,76,132,0.5,0.42028985507246375
q1,>30,12:14,3.5:4.5,1032,708,778,1032,0.8,0.686046511627907
q1,>30,12:14,>4.5,345,199,217,345,0.6666666666666666,0.5768115942028985
q1,>30,14:15,2:3.5,71,18,43,54,0.6,0.2535211267605634
q1,>30,14:15,3.5:4.5,613,438,521,613,0.8571428571428571,0.7145187601957586
