source_id,Teff,e_Teff,logg,e_logg,__Fe_H_,e__Fe_H_,__M_H_,e__M_H_,__a_M_,e__a_M_,__C_Fe_,e__C_Fe_,__N_Fe_,e__N_Fe_,__O_Fe_,e__O_Fe_,__Mg_Fe_,e__Mg_Fe_,__Al_Fe_,e__Al_Fe_,__Si_Fe_,e__Si_Fe_,__Ca_Fe_,e__Ca_Fe_,__Ti_Fe_,e__Ti_Fe_,__Mn_Fe_,e__Mn_Fe_,__Ni_Fe_,e__Ni_Fe_,__Ce_Fe_,e__Ce_Fe_
66601512401466368,5231.1,20.7,3.386,0.043,-0.9029,0.0114,-0.9162,0.011,0.1967,0.1536,0.0564,0.0484,-0.2851,0.0781,0.5325,0.0697,0.2103,0.0237,-0.1497,0.0323,0.1339,0.0278,0.0936,0.0354,-0.0755,0.0514,-0.3287,0.0353,-0.1098,0.0291,-0.9012,0.1777
77358206452039808,4976.6,11.8,3.074,0.03,-0.529,0.0086,-0.5325,0.0077,0.1341,0.0085,-0.0158,0.0221,-0.0072,0.0252,0.2528,0.03,0.1791,0.0151,0.0386,0.0224,0.073,0.0176,0.1516,0.0197,0.0929,0.0289,-0.1545,0.0206,-0.0013,0.0165,-0.1141,0.0956
339385433809052160,4736.0,11.2,1.473,0.042,-1.4639,0.0109,-1.4844,0.0108,0.2258,0.0146,-0.5401,0.0373,0.0962,0.0395,0.3639,0.0341,0.1837,0.0234,-0.2329,0.0245,0.2044,0.0235,0.1392,0.0333,-0.1377,0.0364,-0.4578,0.0348,-0.0741,0.0263,-0.2658,0.072
609201945132157312,5353.5,62.5,3.856,0.119,-1.8541,0.0192,-1.8857,0.039,0.3039,0.0383,0.3363,0.1727,-0.468,2.4302,0.1725,0.2015,0.328,0.0627,-0.3556,0.0553,0.1906,0.0665,0.5115,0.1053,-0.0141,0.1225,-0.0891,0.0922,0.3579,0.0766,,
817626606243771904,4928.0,18.3,2.235,0.048,-1.0691,0.0141,-1.0786,0.0134,0.2188,0.0168,-0.0433,0.0486,-0.509,0.0903,0.5334,0.0556,0.2201,0.0277,-0.1503,0.0387,0.1884,0.0317,0.2801,0.0424,0.2236,0.0531,-0.3321,0.0424,0.0053,0.0355,-0.2385,0.1464
1164668175738364160,4565.9,16.0,1.648,0.053,-1.1797,0.0176,-1.1923,0.0163,0.337,0.0186,-0.1852,0.0459,0.1789,0.0452,0.439,0.0421,0.3492,0.0316,0.0886,0.0464,0.2923,0.0356,0.1527,0.0491,0.1393,0.053,-0.4198,0.0493,0.0604,0.0422,-0.1343,0.1153
1184767106558733184,4729.0,12.5,2.802,0.032,-0.301,0.0114,-0.2908,0.0097,0.2357,0.009,0.115,0.0211,0.1663,0.0241,0.2846,0.0262,0.3055,0.0171,0.3083,0.0321,0.2033,0.0212,0.1842,0.0229,0.2918,0.0319,-0.097,0.0234,0.1456,0.0203,0.0048,0.1041
1268668884665231360,5159.0,26.3,3.074,0.048,-0.6895,0.0146,-0.6856,0.0134,0.2597,0.0161,0.2323,0.0518,0.108,0.0517,0.2003,0.0763,0.3429,0.0271,0.3573,0.0457,0.1729,0.0342,0.2481,0.0422,0.3099,0.062,-0.2133,0.0412,0.079,0.0365,-0.0364,0.2344
1289464738358094592,4407.1,7.2,1.651,0.028,-0.6,0.0091,-0.6012,0.0079,0.3052,0.0074,0.0603,0.0148,0.1594,0.0174,0.3549,0.0147,0.371,0.014,0.2208,0.0211,0.2767,0.0155,0.1437,0.0174,0.1392,0.021,-0.161,0.0186,0.07,0.0147,-0.2751,0.0476
1295156497736159744,4838.6,18.6,2.778,0.045,-0.6302,0.0152,-0.6258,0.0135,0.2869,0.0142,0.1352,0.0378,-0.1028,0.0395,0.3122,0.0464,0.4362,0.0252,0.2339,0.0453,0.1952,0.0313,0.2342,0.0377,0.3444,0.0504,-0.311,0.0376,0.0843,0.0335,-0.2646,0.1605
