source_id,Teff,e_Teff,logg,e_logg,__Fe_H_,e__Fe_H_,__alpha_Fe_,e__alpha_Fe_,__C_Fe_,e__C_Fe_,__O_Fe_,e__O_Fe_,__Mg_Fe_,e__Mg_Fe_,__Al_Fe_,e__Al_Fe_,__Si_Fe_,e__Si_Fe_,__Ca_Fe_,e__Ca_Fe_,__Ti_Fe_,e__Ti_Fe_,__Mn_Fe_,e__Mn_Fe_,__Ni_Fe_,e__Ni_Fe_,__Ba_Fe_,e__Ba_Fe_,__Eu_Fe_,e__Eu_Fe_
609201945132157312,5491.31,84.16,3.602308,0.185811,-1.762804,0.109255,0.477872,0.0356509,,,0.873166,0.1153521,0.06727,0.0933215,,,0.571312,0.0519869,0.39446,0.0651976,0.960562,0.122441,0.070247,0.0850379,,,0.074272,0.0754162,,
611725599195677184,4489.62,92.58,1.607438,0.340918,-0.953022,0.073599,0.216183,0.0326398,,,,,0.280063,0.0766758,-0.191237,0.0715836,0.092309,0.059935,0.349211,0.0771076,0.266779,0.0523179,-0.414421,0.0802198,-0.081799,0.0785048,0.413115,0.0923731,0.371477,0.1001513
653770752045220608,4854.68,137.3,2.251543,0.28638,-1.302863,0.145196,0.300913,0.0746867,,,0.660705,0.2062471,0.072624,0.1777268,0.412191,0.1141188,0.300438,0.1073259,0.325854,0.1227147,0.238925,0.195919,-0.380708,0.1743344,-0.225395,0.1808928,0.30322,0.1659779,0.741155,0.1352297
2581881592415406592,4892.13,109.95,2.818563,0.244239,-0.505835,0.08756,0.143081,0.0405414,,,0.607426,0.1590692,-0.017323,0.1051144,0.257671,0.0861411,0.100581,0.0748042,0.119602,0.0925415,0.254819,0.0670502,0.033238,0.1080369,-0.034414,0.0933565,0.078069,0.1159211,0.078903,0.1134898
2621237610403621632,3997.99,81.04,1.492154,0.362575,-0.333506,0.063567,,,,,,,,,,,,,,,,,,,,,,,,
2625876179378957952,5289.75,115.34,2.587205,0.316087,-1.094962,0.123777,0.186152,0.0582549,0.77096,0.1539803,0.614918,0.1694112,0.037176,0.1190415,0.290935,0.0922763,0.200868,0.0815191,,,0.298866,0.116546,-0.272746,0.1211798,-0.208455,0.1433336,0.514452,0.1263957,0.58924,0.1186277
3181152499415837056,4328.98,108.9,1.337118,0.301999,-1.06742,0.095496,0.209441,0.0489562,,,,,0.342118,0.1263703,0.063825,0.0953196,0.209044,0.0849412,0.195156,0.1023742,0.192966,0.0854389,-0.183017,0.1279984,-0.127577,0.1023746,0.461465,0.1317024,0.601823,0.1210889
3185620781529427328,4459.16,79.07,1.982518,0.211693,-0.707007,0.053862,0.275979,0.0183127,,,0.630485,0.0885532,0.273765,0.0415458,0.440567,0.0442615,0.278698,0.0369907,0.310236,0.0488957,0.284167,0.0257253,-0.171449,0.0423395,0.022203,0.048395,-0.088239,0.0544646,0.256946,0.0675718
3203188743957945344,5018.3,149.03,2.62201,0.253445,-1.572368,0.154151,0.335792,0.0624875,,,0.881504,0.1684053,-0.191481,0.1231103,0.775457,0.0916796,0.348436,0.0808551,0.317039,0.0984663,,,-0.354234,0.1198659,0.225981,0.1423156,0.451196,0.1253637,1.174079,0.1603331
3254098468785655808,5737.0,115.24,4.0521,0.192654,-0.441677,0.130499,0.312701,0.0684284,0.716296,0.1784433,0.317515,0.2097178,0.291537,0.1839752,0.479901,0.1161762,0.319554,0.1098983,0.295297,0.1249553,0.396623,0.2011049,-0.058638,0.1798314,,,-0.252874,0.1698749,,
