source_id,tier,P_vgrf_below_25,vgrf_default,vgrf_mc_p50_kms,vgrf_mc_width_kms,vgrf_mc_sigma_kms,static_Lz_kpc_kms,static_E_mean,retrograde_flag,width_quartile,E_tertile
10283049355584128,B,0.908000,16.289921,17.441632,4.204281,4.439073,-43.963097,-139850.421789,1,2,3
19320583963797632,B,0.940000,19.738731,19.851003,2.574541,2.665289,-56.049904,-135529.896209,1,2,3
47180254402996480,A,0.964000,15.449273,15.937439,3.303913,3.463172,-62.042564,-135959.314860,1,2,3
66601512401466368,C,0.616800,24.067509,24.176300,2.968049,2.953282,-173.401031,-137591.787295,1,2,3
77358206452039808,B,0.948000,13.156631,13.464043,6.039546,5.884032,-90.873192,-135148.669289,1,3,3
78171462803918464,B,0.944000,11.641167,13.266896,4.690397,5.122126,-80.561462,-135127.789773,1,3,3
132425700141447168,C,0.638200,22.920621,23.125565,4.933094,4.903219,-27.187534,-141506.655665,1,3,3
203521290228598656,A,1.000000,9.812784,10.312904,2.743932,2.696044,-63.477467,-142707.145845,1,2,2
205004836352089472,C,0.619900,23.804936,24.147181,2.721058,2.685658,-185.699249,-140217.025979,1,2,3
231283683952040960,A,0.986000,13.565361,13.655755,3.239798,3.427232,32.529743,-135841.608244,0,2,3
262676695131174784,A,0.952000,11.531423,11.773175,5.382370,5.545969,-110.551476,-130450.866250,1,3,3
301944417182112640,C,0.614200,22.889950,22.750913,6.074136,6.047692,-206.179688,-133927.576355,1,3,3
347579131898942336,B,0.914000,17.211034,17.809828,5.345136,5.057018,-108.381905,-138799.399260,1,3,3
360119435674339840,B,0.918000,11.003234,13.860058,6.326978,6.228377,-94.547836,-136579.168309,1,3,3
366349822607618944,A,0.972000,17.338774,18.553798,1.750958,2.058323,6.257274,-140252.646158,0,1,3
370667364252099712,B,0.902000,19.683364,20.677539,2.755145,2.964697,139.096939,-143222.685909,0,2,2
391429820279708288,A,1.000000,15.762325,15.765939,0.690055,0.822364,-40.564152,-138939.475819,1,1,3
396883466671182720,C,0.722000,19.762347,20.719183,7.275723,6.991860,-147.990768,-134495.520436,1,4,3
399840156517573760,C,0.760000,20.754776,20.626993,5.870154,5.770164,-119.268806,-130685.702374,1,3,3
424780206976678144,C,0.732000,19.110907,19.489043,8.782323,8.646118,-194.666885,-129349.447336,1,4,3
431014850227388672,B,0.890000,13.245351,16.122151,5.924863,6.088253,80.214470,-132700.646383,0,3,3
456736447287786624,C,0.586500,23.640277,23.625802,5.508791,5.349314,-97.472778,-131031.131483,1,3,3
467577906816705664,C,0.543700,24.549494,24.585644,4.412364,4.284683,-244.971390,-132584.677580,1,3,3
480133401884559488,C,0.706000,21.216557,23.207257,3.601735,4.323942,-40.749977,-142119.051687,1,2,2
488553942968868736,A,1.000000,12.352243,12.437320,2.286205,2.311522,34.251904,-139114.714708,0,1,3
502038044332244864,C,0.569500,23.825658,23.789391,6.236063,6.090287,-273.965393,-125607.256061,1,3,3
