sample,n,ess,median_Rperi_pc,median_Rapo_kpc,median_ecc,retrograde_frac_Lz_lt_0,median_vgrf_kms,band,weight_mode,max_weight,p95_weight
slow_TierABC_unweighted,632,632.0,144.83259618282318,8.078487396240234,0.9623120427131653,0.6993670886075949,18.553383332771723,,,,
control_25_50_raw_unweighted,1955,1955.0,153.97991240024567,3.5484057664871216,0.9157283306121826,0.4061381074168798,41.20387000970025,,,,
control_25_50_phase5_current_weights,1955,1413.7569817076646,120.4842133072433,2.7418029641026194,0.9175936083065359,0.41109566134151543,41.49093956816532,,,,
control_25_50_baseline,1955,1942.5897810336098,156.78644390743025,3.682107539394907,0.9156785122795407,0.40611838821920027,41.18628613030974,25_50,baseline,1.2125881007313033,1.1401654613231462
control_25_50_rich,1955,1685.1462294812577,166.80996895894924,4.141224658366281,0.9161950126515328,0.40805591314073,41.06972409986297,25_50,rich,1.758874591825069,1.5522797158999293
control_50_100_raw_unweighted,2586,2586.0,477.36623883247375,4.5102620124816895,0.7903236150741577,0.34184068058778033,82.7256440843246,,,,
control_50_100_phase5_current_weights,2586,1702.844757250865,356.94419480303395,2.952490521901938,0.7876971262258731,0.37173584978333596,82.83961927918394,,,,
control_50_100_baseline,2586,2566.9313379325067,487.536640181814,4.643586525997294,0.7900261187699528,0.33913809763661384,82.78383985714132,50_100,baseline,1.2055364670030029,1.1462339617042505
control_50_100_rich,2586,2241.403033343005,526.9975184829501,5.1848954555757185,0.7914940288234814,0.33948943836676876,82.68655312177943,50_100,rich,1.759253274800548,1.5447628013012613
control_100_200_raw_unweighted,2788,2788.0,1794.1014766693115,5.10641622543335,0.42424920201301575,0.2564562410329986,165.86225377506537,,,,
control_100_200_phase5_current_weights,2788,1769.1937606626607,1053.6848929243574,3.204422638817111,0.4850057021686183,0.3238713520750562,159.73488513612966,,,,
control_100_200_baseline,2788,2757.194004885866,1840.8211989042338,5.201556153274873,0.4228376941577373,0.25233559098115843,166.00073140792026,100_200,baseline,1.2202497811357194,1.1517592556414897
control_100_200_rich,2788,2384.400900842302,2069.3981634036995,5.701630099921579,0.4130452500159709,0.24144355907322562,166.84084207691382,100_200,rich,1.7966804000322816,1.5544099805279732
control_200_260_raw_unweighted,2749,2749.0,2852.6071310043335,6.141834259033203,0.28839604556560516,0.2346307748272099,225.85060330580671,,,,
control_200_260_phase5_current_weights,2749,1741.8734036855574,1703.4979119169686,4.110211396484239,0.36953006495939783,0.2950824044390622,225.32018468726423,,,,
control_200_260_baseline,2749,2715.4592857582807,2900.387039129718,6.204192028158365,0.28652705449971866,0.22918244804819435,225.82556108453917,200_260,baseline,1.2233520075206064,1.1527499509035972
control_200_260_rich,2749,2341.3779596771496,3244.8237388324187,6.702935234231674,0.28156970863109076,0.22170558169885446,226.0469125085836,200_260,rich,1.7872708242686939,1.5836561230126505
