r_kpc,static_simple,static_full,barred_default,barred_slow,barred_fast,static_full_halo_0p85,static_full_halo_1p15
0.5,2027964791.2222486,2347716449.4987426,2347716449.4987426,2347716449.4987426,2347716449.4987426,2328292140.3656087,2367140758.6318765
2.515151515151515,26304057759.35233,29090675904.75601,29090675904.75601,29090675904.75601,29090675904.75601,28669642599.19806,29511709210.31395
4.53030303030303,52299760482.82536,55456050969.32531,55456050969.32531,55456050969.32531,55456050969.32531,54268567906.80222,56643534031.8484
6.545454545454545,74616888415.21518,75148444068.94687,75148444068.94687,75148444068.94687,75148444068.94687,72967292892.83972,77329595245.054
8.56060606060606,94690821438.96216,90889849415.87576,90889849415.87576,90889849415.87576,90889849415.87576,87573708745.59917,94205990086.15236
10.575757575757576,113550257317.78049,104477368256.65584,104477368256.65584,104477368256.65584,104477368256.65584,99940198876.58861,109014537636.72307
12.59090909090909,131677900468.84111,116793607127.27826,116793607127.27826,116793607127.27826,116793607127.27826,110985794971.31413,122601419283.24234
14.606060606060606,149280585344.65268,128276008082.99544,128276008082.99544,128276008082.99544,128276008082.99544,121172363700.72972,135379652465.26114
16.62121212121212,166444921758.77206,139153927845.6791,139153927845.6791,139153927845.6791,139153927845.6791,130745840078.84846,147562015612.50977
18.636363636363637,183206940549.8455,149555898391.9036,149555898391.9036,149555898391.9036,149555898391.9036,139846087556.54636,159265709227.2608
20.651515151515152,199582186602.38635,159559184733.76758,159559184733.76758,159559184733.76758,159559184733.76758,148558127819.129,170560241648.40616
22.666666666666668,215578675303.50546,169213703175.27124,169213703175.27124,169213703175.27124,169213703175.27124,156937160219.99265,181490246130.5498
24.68181818181818,231202381582.37643,178554093197.9637,178554093197.9637,178554093197.9637,178554093197.9637,165021373865.22134,192086812530.70605
26.696969696969695,246459435040.86035,187606065942.14423,187606065942.14423,187606065942.14423,187606065942.14423,172838802549.47833,202373329334.8101
28.71212121212121,261356861449.51138,196389867356.0011,196389867356.0011,196389867356.0011,196389867356.0011,180411139811.34753,212368594900.65466
30.727272727272727,275902698456.0314,204922232037.0928,204922232037.0928,204922232037.0928,204922232037.0928,187755940590.42065,222088523483.76495
32.74242424242424,290105861744.6899,213217520621.13666,213217520621.13666,213217520621.13666,213217520621.13666,194887935164.73077,231547106077.5425
34.75757575757576,303975931615.529,221288402643.2309,221288402643.2309,221288402643.2309,221288402643.2309,201819839047.51434,240756966238.94742
36.77272727272727,317522934231.0364,229146278900.73904,229146278900.73904,229146278900.73904,229146278900.73904,208562867533.67804,249729690267.8
38.78787878787879,330757147164.3581,236801553773.1981,236801553773.1981,236801553773.1981,236801553773.1981,215127075383.07712,258476032163.319
40.803030303030305,343688938307.2004,244263814062.34036,244263814062.34036,244263814062.34036,244263814062.34036,221521585162.62305,267006042962.05774
42.81818181818182,356328638376.8961,251541954446.69385,251541954446.69385,251541954446.69385,251541954446.69385,227754749229.5263,275329159663.8614
44.833333333333336,368686442729.5894,258644266911.7108,258644266911.7108,258644266911.7108,258644266911.7108,233834266188.872,283454267634.54944
46.84848484848485,380772338746.2228,265578508672.16486,265578508672.16486,265578508672.16486,265578508672.16486,239767268834.4669,291389748509.8628
48.86363636363636,392596053309.6132,272351955187.74124,272351955187.74124,272351955187.74124,272351955187.74124,245560391979.53162,299143518395.95087
50.878787878787875,404167016504.6985,278971443361.2297,278971443361.2297,278971443361.2297,278971443361.2297,251219826586.10907,306723060136.3502
52.89393939393939,415494338236.7241,285443407779.6236,285443407779.6236,285443407779.6236,285443407779.6236,256751364025.19525,314135451534.05194
54.90909090909091,426586794466.25507,291773912160.6004,291773912160.6004,291773912160.6004,291773912160.6004,262160433350.73022,321387390970.4705
56.92424242424242,437452820790.507,297968676482.5325,297968676482.5325,297968676482.5325,297968676482.5325,267452132603.4888,328485220361.5762
58.93939393939394,448100512080.53656,304033102088.66516,304033102088.66516,304033102088.66516,304033102088.66516,272631256839.275,335434947338.0553
60.95454545454545,458537626055.25714,309972293223.3796,309972293223.3796,309972293223.3796,309972293223.3796,277702321643.97705,342242264802.78217
62.96969696969697,468771589982.6048,315791077570.0496,315791077570.0496,315791077570.0496,315791077570.0496,282669584935.86316,348912570204.236
64.98484848484848,478809509566.4957,321494024613.1244,321494024613.1244,321494024613.1244,321494024613.1244,287537066053.39545,355450983172.8532
67.0,488658179338.0857,327085462603.4489,327085462603.4489,327085462603.4489,327085462603.4489,292308563041.6368,361862362165.261
69.01515151515152,498324094027.5771,332569494201.9199,332569494201.9199,332569494201.9199,332569494201.9199,296987668314.9374,368151320088.9024
71.03030303030303,507813460516.57245,337950010936.6603,337950010936.6603,337950010936.6603,337950010936.6603,301577782909.7446,374322238963.57587
73.04545454545455,517132210155.4019,343230706585.88153,343230706585.88153,343230706585.88153,343230706585.88153,306082129500.086,380379283671.677
75.06060606060606,526286010686.3602,348415089581.9591,348415089581.9591,348415089581.9591,348415089581.9591,310503764317.6228,386326414846.2955
77.07575757575758,535280278945.67993,353506494519.8066,353506494519.8066,353506494519.8066,353506494519.8066,314845588094.9539,392167400944.6592
79.0909090909091,544120192415.38635,358508092843.00836,358508092843.00836,358508092843.00836,358508092843.00836,319110356132.91235,397905829553.1044
81.10606060606061,552810700902.9154,363422902773.4731,363422902773.4731,363422902773.4731,363422902773.4731,323300687578.46313,403545117968.483
83.12121212121212,561356537737.3148,368253798543.9986,368253798543.9986,368253798543.9986,368253798543.9986,327419073988.4668,409088523099.53033
85.13636363636364,569762230534.7285,373003518987.74896,373003518987.74896,373003518987.74896,373003518987.74896,331467887245.30524,414539150730.19244
87.15151515151516,578032111509.5072,377674675575.1489,377674675575.1489,377674675575.1489,377674675575.1489,335449386923.87524,419899964226.4225
89.16666666666667,586170327319.4323,382269759690.63116,382269759690.63116,382269759690.63116,382269759690.63116,339365726909.0451,425173792472.2172
91.18181818181819,594180848442.7063,386791149836.2699,386791149836.2699,386791149836.2699,386791149836.2699,343218961955.4584,430363337717.08136
93.1969696969697,602067478091.1506,391241117921.4557,391241117921.4557,391241117921.4557,391241117921.4557,347011053352.2792,435471182490.6322
95.21212121212122,609833860669.025,395621835346.3891,395621835346.3891,395621835346.3891,395621835346.3891,350743874403.00757,440499796289.7706
97.22727272727272,617483489790.4513,399935378637.27167,399935378637.27167,399935378637.27167,399935378637.27167,354419215479.7525,445451541794.7907
99.24242424242424,625019715865.615,404183734709.5333,404183734709.5333,404183734709.5333,404183734709.5333,358038788729.16315,450328680689.9035
101.25757575757575,632445753297.6318,408368806309.0379,408368806309.0379,408368806309.0379,408368806309.0379,361604232980.32574,455133379637.75006
103.27272727272727,639764687262.8882,412492414575.5997,412492414575.5997,412492414575.5997,412492414575.5997,365117115798.9527,459867713352.2467
105.28787878787878,646979480130.6873,416556306313.63043,416556306313.63043,416556306313.63043,416556306313.63043,368578940272.3927,464533672354.868
