R_kpc,static_simple,static_full,barred_default,barred_slow,barred_fast,static_full_halo_0p85,static_full_halo_1p15
0.5,116.14148630013159,123.81515352418216,123.8233396159256,123.8233396159256,123.8233396159256,123.13857051711442,124.48805940906638
0.75,131.7866343883862,139.88717125630032,139.91162372421266,139.91162372421266,139.91162372421266,139.00641903329708,140.7624127092116
1.0,146.82285310365216,155.5072552218874,155.55939045277086,155.55939045277086,155.55939045277086,154.47144009767885,156.5362164083432
1.25,160.960835509611,170.66270054350537,170.75547494239518,170.75547494239518,170.75547494239518,169.5057132281313,171.81189684252627
1.5,173.90170955291063,184.74562100297894,184.89369553401667,184.89369553401667,184.89369553401667,183.48758935101742,185.99514379065138
1.75,185.4578240394228,197.30592241827884,197.5260561385104,197.5260561385104,197.5260561385104,195.95758830315253,198.64510471961776
2.0,195.55791635056772,208.13884031899477,208.45027488702226,208.45027488702226,208.45027488702226,206.705285566927,209.56258878284353
2.25,204.22283854452166,217.22804863591605,217.65282661312804,217.65282661312804,217.65282661312804,215.7111576126972,218.73442049601144
2.5,211.53621498254066,224.67425641852049,225.2374756234433,225.2374756234433,225.2374756234433,223.07420117098223,226.2629969004175
2.75,217.6183865424864,230.63914700701926,231.36916411938213,231.36916411938213,231.36916411938213,228.95525018127717,232.31083848731566
3.0,222.6062771255755,235.30767160191743,236.23626661101468,236.23626661101468,236.23626661101468,233.5388984911768,237.0632479338784
3.25,226.6393546846186,238.8651095243502,240.0276192293488,240.0276192293488,240.0276192293488,237.01034385547192,240.7055836528738
3.5,229.85079211109928,241.48448983176885,242.9199157906952,242.9199157906952,242.9199157906952,239.5426841596454,243.41080527415315
3.75,232.36258792591326,243.3207156021542,245.0718099316301,245.0718099316301,245.0718099316301,241.2909690789336,245.33366977086115
4.0,234.28344078673405,244.50873999640396,246.62207107990582,246.62207107990582,246.62207107990582,242.39033418011462,246.60894907790853
4.25,235.70837914093462,245.16401675777465,246.9224927603975,246.9224927603975,246.9224927603975,242.9564273678828,247.35190443222288
