r_kpc,static_simple,static_full,barred_default,barred_slow,barred_fast,static_full_halo_0p85,static_full_halo_1p15
0.5,1427370634.8102217,2628237708.7977314,2628255785.3624177,2628255785.3624177,2628255785.3624177,2568301175.784208,2688174241.811256
2.515151515151515,23944106107.49083,23296915874.67124,23296558204.23156,23296558204.23156,23296558204.23156,21962726425.51177,24631105323.830708
4.53030303030303,53251252052.39168,51934354133.95398,51927298119.32636,51927298119.32636,51927298119.32636,48087093690.468864,55781614577.43908
6.545454545454545,76219314547.68102,79434174312.06299,79428030617.39015,79428030617.39015,79428030617.39015,72233627582.20221,86634721041.92383
8.56060606060606,94977882460.62714,103932281145.05345,103926529975.28806,103926529975.28806,103926529975.28806,92806636640.67702,115057925649.42989
10.575757575757576,111736678213.10841,124870382443.50912,124864809254.13742,124864809254.13742,124864809254.13742,109432746090.09996,140308018796.91833
12.59090909090909,127507500350.1382,143207279489.48236,143201805533.4655,143201805533.4655,143201805533.4655,123200541024.18362,163214017954.78098
14.606060606060606,142709107662.51746,160041826831.21014,160036366521.56918,160036366521.56918,160036366521.56918,135301331564.23732,184782322098.18295
16.62121212121212,157510142813.4047,176063911968.20282,176058518678.9359,176058518678.9359,176058518678.9359,146491644875.8908,205636179060.51492
18.636363636363637,171976759063.76334,191628426249.90753,191623052286.3493,191623052286.3493,191623052286.3493,157174829403.02472,226082023096.7905
20.651515151515152,186134015802.83484,206888629873.4479,206883251267.522,206883251267.522,206883251267.522,167539593517.3365,246237666229.55945
22.666666666666668,199990511661.2921,221901007002.69308,221895651932.77707,221895651932.77707,221895651932.77707,177668435366.25467,266133578639.1316
24.68181818181818,213549192061.1234,236679752109.27863,236674410251.1019,236674410251.1019,236674410251.1019,187594641492.72696,285764862725.8304
26.696969696969695,226811916969.9589,251222697715.79135,251217361300.28595,251217361300.28595,251217361300.28595,197330006966.97858,305115388464.60394
28.71212121212121,239781361837.83902,265526148237.27618,265520818156.04224,265520818156.04224,265520818156.04224,206880965249.29327,324171331225.25903
30.727272727272727,252461382180.6068,279588130473.7531,279582806704.9379,279582806704.9379,279582806704.9379,216252787048.61597,342923473898.89026
32.74242424242424,264856851181.2574,293409351946.32983,293404033333.7516,293404033333.7516,293404033333.7516,225451240059.7471,361367463832.91235
34.75757575757576,276973578678.4949,306993511771.5358,306988195867.0558,306988195867.0558,306988195867.0558,234483423541.7444,379503600001.3271
36.77272727272727,288818149118.6533,320346014645.7202,320340696697.07635,320340696697.07635,320340696697.07635,243356876655.52505,397335152635.91534
38.78787878787879,300397737043.3597,333473155640.80896,333467834636.3577,333467834636.3577,333467834636.3577,252079062454.3962,414867248827.22156
40.803030303030305,311719932461.5204,346381367255.7265,346376050049.46375,346376050049.46375,346376050049.46375,260656843448.61115,432105891062.8416
42.81818181818182,322792588616.185,359076695283.6832,359071387343.37427,359071387343.37427,359071387343.37427,269096133021.84756,449057257545.51843
44.833333333333336,333623682583.9112,371564813657.7477,371559512899.91345,371559512899.91345,371559512899.91345,277402045819.0237,465727581496.47174
46.84848484848485,344221151585.55786,383851155578.1736,383845853128.75726,383845853128.75726,383845853128.75726,285579133974.2711,482123177182.0758
48.86363636363636,354592801728.7261,395940949205.4809,395935642357.38776,395935642357.38776,395935642357.38776,293631504586.4343,498250393824.5273
50.878787878787875,364746270023.534,407838733296.6863,407833424398.5788,407833424398.5788,407833424398.5788,301562399167.26,514115067426.11237
52.89393939393939,374688996771.6064,419548476082.46967,419543168527.70044,419543168527.70044,419543168527.70044,309374362404.95355,529722589759.9856
54.90909090909091,384428205911.49536,431073766191.79565,431068461814.0997,431068461814.0997,431068461814.0997,317069472130.29205,545078060253.2992
56.92424242424242,393970891859.99475,442417975364.2568,442412673095.96985,442412673095.96985,442412673095.96985,324649532586.968,560186418141.5455
58.93939393939394,403323811570.84937,453584647410.45966,453579345681.4931,453579345681.4931,453579345681.4931,332116487287.36365,575052807533.5555
60.95454545454545,412493480726.6934,464577252620.75195,464571950892.1948,464571950892.1948,464571950892.1948,339472192065.86774,589682313175.636
62.96969696969697,421486173163.34143,475398981884.96405,475393680202.79315,475393680202.79315,475393680202.79315,346718223692.66376,604079740077.2646
64.98484848484848,430307922788.14417,486052824266.57275,486047522911.3956,486047522911.3956,486047522911.3956,353855968652.8731,618249679880.2723
67.0,438964527393.4178,496541619267.8745,496536318504.01276,496536318504.01276,496536318504.01276,360886684005.102,632196554530.6469
69.01515151515152,447461553882.75116,506868099617.3393,506862799516.19824,506862799516.19824,506862799516.19824,367811546685.41766,645924652549.2607
71.03030303030303,455804344136.97644,517035080254.86053,517029780664.01306,517029780664.01306,517029780664.01306,374631847356.2932,659438313153.4276
73.04545454545455,463998008953.65063,527045769067.42944,527040469832.95184,527040469832.95184,527040469832.95184,381349304689.9786,672742233444.88
75.06060606060606,472047427700.9651,536903329938.8839,536898030951.55707,536898030951.55707,536898030951.55707,387965630918.60486,685841028959.1628
77.07575757575758,479957268253.6924,546610803555.43695,546605504747.54504,546605504747.54504,546605504747.54504,394482454307.50397,698739152803.37
79.0909090909091,487731997500.7239,556171125478.4016,556165826820.562,556165826820.562,556165826820.562,400901338235.2584,711440912721.5447
81.10606060606061,495375890840.8539,565587139969.5702,565581841467.6448,565581841467.6448,565581841467.6448,407223795504.10834,723950484435.0316
83.12121212121212,502893041350.4808,574861610596.3795,574856312288.5072,574856312288.5072,574856312288.5072,413451299018.95953,736271922173.7994
85.13636363636364,510287368598.1956,583997228392.6444,583991930346.4137,583991930346.4137,583991930346.4137,419585289700.2247,748409167085.0638
87.15151515151516,517562627091.7189,592996655490.634,592991357775.9938,592991357775.9938,592991357775.9938,425627219618.37054,760366091362.897
89.16666666666667,524722414350.74713,601862666731.7642,601857369324.8962,601857369324.8962,601857369324.8962,431578692915.546,772146640547.9824
91.18181818181819,531770178605.43475,610598026017.7242,610592728820.87,610592728820.87,610592728820.87,437441341322.9622,783754710712.4861
93.1969696969697,538709226124.8666,619205435014.1049,619200137904.0588,619200137904.0588,619200137904.0588,443216771923.83356,795194098104.3757
95.21212121212122,545542728183.32306,627687533522.9904,627682236389.3901,627682236389.3901,627682236389.3901,448906566508.71265,806468500537.2682
97.22727272727272,552273727674.6064,636046900026.6039,636041602801.8605,636041602801.8605,636041602801.8605,454512281049.70795,817581519003.4998
99.24242424242424,558905145386.4468,644286052371.6202,644280755054.0206,644280755054.0206,644280755054.0206,460035445282.7438,828536659460.497
101.25757575757575,565439785948.152,652407448393.5494,652402151064.7727,652402151064.7727,652402151064.7727,465477562212.8679,839337334574.2312
103.27272727272727,571880343465.3715,660413484538.979,660408187377.0504,660408187377.0504,660408187377.0504,470840105612.78723,849986863465.1705
105.28787878787878,578229406856.1948,668306497469.7533,668301200758.2805,668301200758.2805,668301200758.2805,476124520508.4987,860488474431.0082
107.3030303030303,584489464902.8892,676088770652.3727,676083474742.6416,676083474742.6416,676083474742.6416,481332228662.9447,870845312641.8007
109.31818181818181,590662911033.4763,683762553743.3721,683757258824.6335,683757258824.6335,683757258824.6335,486464646874.3955,881060460612.349
111.33333333333333,596752047847.0615,691330050155.7241,691324756223.1686,691324756223.1686,691324756223.1686,491523173479.1124,891136926832.3352
113.34848484848484,602759091396.48,698793410225.5232,698788117135.779,698788117135.779,698788117135.779,496509180480.932,901077639970.1144
115.36363636363636,608686175241.3489,706154732014.7517,706149439532.6989,706149439532.6989,706149439532.6989,501424013346.02124,910885450683.4813
117.37878787878788,614535353692.5583,713416062214.747,713410770052.8176,713410770052.8176,713410770052.8176,506268990929.1245,920563133500.3694
119.39393939393939,620308602250.6423,720579397121.0305,720574104972.0764,720574104972.0764,720574104972.0764,511045405503.0524,930113388739.0084
121.4090909090909,626007823152.8312,727646683662.4191,727641391227.0785,727641391227.0785,727641391227.0785,515754522874.94806,939538844449.89
123.42424242424242,631634850073.028,734619820470.1426,734614527479.495,734614527479.495,734614527479.495,520397582575.265,948842058365.02
125.43939393939394,637191451263.1576,741500658974.9923,741495365209.1788,741495365209.1788,741495365209.1788,524975798107.39404,958025519842.5911
127.45454545454545,642679332522.3824,748291004522.5055,748285709825.8977,748285709825.8977,748285709825.8977,529490357247.60596,967091651797.4049
129.46969696969697,648100140007.254,754992617497.843,754987321791.2593,754987321791.2593,754987321791.2593,533942422386.4443,976042812609.2418
131.48484848484847,653455462892.2615,761607214303.4646,761601917593.4875,761601917593.4875,761601917593.4875,538333130753.9944,984881297852.9348
133.5,658746835889.6501,768136464089.9952,768131166461.4634,768131166461.4634,768131166461.4634,542663590428.64813,993609337751.3424
135.5151515151515,663975741636.8359,774581990141.3722,774576691731.7825,774576691731.7825,774576691731.7825,546934881029.5825,1002229099253.1619
137.53030303030303,669143612959.232,780945376732.876,780940077714.6683,780940077714.6683,780940077714.6683,551148059910.6381,1010742693555.1141
139.54545454545453,674251835015.8184,787228170342.9572,787222870908.7692,787222870908.7692,787222870908.7692,555304162735.5524,1019152177950.3622
141.56060606060606,679301747334.3093,793431880526.3594,793426580876.3501,793426580876.3501,793426580876.3501,559404203741.0657,1027459557311.6527
143.57575757575756,684294645742.3721,799557980791.2058,799552681122.1943,799552681122.1943,799552681122.1943,563449176029.58,1035666785552.8314
145.5909090909091,689231784200.9158,805607909475.6458,805602609971.8416,805602609971.8416,805602609971.8416,567440051885.9746,1043775767065.3175
147.6060606060606,694114376545.1154,811583070620.3816,811577771445.5145,811577771445.5145,811577771445.5145,571377783113.9243,1051788358126.8384
149.62121212121212,698943598138.4661,817484834834.0295,817479536124.7068,817479536124.7068,817479536124.7068,575263301387.7096,1059706368280.3499
151.63636363636363,703720587444.8364,823314540148.7892,823309242008.9244,823309242008.9244,823309242008.9244,579097518616.0342,1067531561681.5435
153.65151515151516,708446447523.1846,829073492864.3562,829068195360.5494,829068195360.5494,829068195360.5494,582881327314.8928,1075265658413.8193
155.66666666666666,713122247449.2908,834762968378.399,834757671536.1361,834757671536.1361,834757671536.1361,586615600986.8771,1082910335769.9208
157.6818181818182,717749023668.6147,840384212002.2559,840378915802.8372,840378915802.8372,840378915802.8372,590301194504.7446,1090467229499.7666
159.6969696969697,722327781284.118,845938439706.5562,845933144084.6587,845933144084.6587,845933144084.6587,593938944443.0969,1097937934970.0146
161.71212121212122,726859495282.6488,851426838194.5312,851421543036.3257,851421543036.3257,851421543036.3257,597529668755.1282,1105324007633.934
163.72727272727272,731345111703.278,856850565262.2216,856845270419.488,856845270419.488,856845270419.488,601074166752.8828,1112626963771.5603
165.74242424242425,735785548750.7598,862210749194.6464,862205454537.8262,862205454537.8262,862205454537.8262,604573218139.3356,1119848280249.9568
167.75757575757575,740181697857.1052,867508491519.7461,867503196946.6924,867503196946.6924,867503196946.6924,608027585413.397,1126989397626.095
169.77272727272728,744534424694.0591,872744868323.7601,872739573756.3702,872739573756.3702,872739573756.3702,611438014850.8125,1134051721796.708
171.78787878787878,748844570139.123,877920930958.5621,877915636339.7267,877915636339.7267,877915636339.7267,614805236890.8334,1141036625026.2908
173.8030303030303,753112951197.5902,883037706728.1298,883032412018.973,883032412018.973,883032412018.973,618129966515.2067,1147945446941.0522
175.8181818181818,757340361882.9307,888096199554.61,888090904731.9896,888090904731.9896,888090904731.9896,621412903619.3425,1154779495489.8767
177.83333333333334,761527574057.6962,893097390624.4525,893092095678.6995,893092095678.6995,893092095678.6995,624654733375.5704,1161540047873.3347
179.84848484848484,765675338237.0267,898042239015.1044,898036943947.9774,898036943947.9774,898036943947.9774,627856126588.422,1168228351441.786
181.86363636363637,769784384356.6812,902931682302.7662,902926387125.6049,902926387125.6049,902926387125.6049,631017740041.9353,1174845624563.5974
183.87878787878788,773855422507.4131,907766637151.7025,907761341883.7567,907761341883.7567,907761341883.7567,634140216838.96,1181393057464.4453
185.8939393939394,777889143637.436,912547999885.633,912542704552.5565,912542704552.5565,912542704552.5565,637224186732.5377,1187871813038.7275
187.9090909090909,781886220224.5634,917276647041.6859,917271351674.1783,917271351674.1783,917271351674.1783,640270266449.3773,1194283027633.994
189.92424242424244,785847306919.5822,921953435907.439,921948140540.0204,921948140540.0204,921948140540.0204,643279060005.5219,1200627811809.356
191.93939393939394,789773041138.3795,926579205041.5222,926573909711.433,926573909711.433,926573909711.433,646251159014.2848,1206907251068.7593
193.95454545454544,793664043343.2095,931154774778.2953,931149479524.5052,931149479524.5052,931149479524.5052,649187142986.5664,1213122406570.0244
195.96969696969697,797520917728.6191,935680947717.0715,935675652579.3912,935675652579.3912,935675652579.3912,652087579623.6631,1219274315810.4795
