R_kpc,static_simple,static_full,barred_default,barred_slow,barred_fast,static_full_halo_0p85,static_full_halo_1p15
0.5,110.8060705644021,150.35833095738494,150.35884802580176,150.35884802580176,150.35884802580176,148.63399483255543,152.06311504338223
0.75,125.94179207524719,167.38339363927884,167.38456743920696,167.38456743920696,167.38456743920696,165.0955171023397,169.64041725106253
1.0,140.46103747262168,179.62247658917542,179.62464959128562,179.62464959128562,179.62464959128562,176.8231993985274,182.3787935767927
1.25,154.06062439554935,187.35366610453582,187.3569943274938,187.3569943274938,187.3569943274938,184.04931467006344,190.6007402270509
1.5,166.4484873073978,191.95705690550253,191.96136865100584,191.96136865100584,191.96136865100584,188.14400385128533,195.69582828065654
1.75,177.44751785645232,194.7332042212689,194.73804648880832,194.73804648880832,194.73804648880832,190.4117635968056,198.96080502581162
2.0,187.00327291112475,196.30581206333238,196.31045901286964,196.31045901286964,196.31045901286964,191.47673828958648,201.01891053746644
2.25,195.14680476514425,197.3815042779586,197.3843532425677,197.3843532425677,197.3843532425677,192.0549407201049,202.56805327360132
2.5,201.9731519024411,199.42073962865464,199.41953315645648,199.41953315645648,199.41953315645648,193.6461118306323,205.0327928916679
2.75,207.6107376659675,202.82335707725062,202.81433258760336,202.81433258760336,202.81433258760336,196.6674196609138,208.7978792902118
3.0,212.19772786682404,206.7309524811412,206.71080225555116,206.71080225555116,206.71080225555116,200.2369207581893,213.02710858667334
3.25,215.87309696185227,210.17625610480513,210.14997859404136,210.14997859404136,210.14997859404136,203.35476501065753,216.7832023195652
3.5,218.76986133538676,213.04219504705733,213.01688937741812,213.01688937741812,213.01688937741812,205.8966289785803,219.95574990482447
3.75,221.0094852189713,215.6505686792406,215.62876463900045,215.62876463900045,215.62876463900045,208.19254860992726,222.8591444088907
4.0,222.69663417710441,218.0375800381643,218.01895996579955,218.01895996579955,218.01895996579955,210.27808554533803,225.53026261942165
4.25,223.92218977543092,220.11360652591466,220.0969561110434,220.0969561110434,220.0969561110434,212.0585224504424,227.8841429582708
4.5,224.76466164880878,221.85677664393202,221.8415369339308,221.8415369339308,221.8415369339308,213.5092913531661,229.901372748272
4.75,225.29108484346602,223.2950600882607,223.28104773491222,223.28104773491222,223.28104773491222,214.65767950180611,231.61055319337203
5.0,225.5581661380437,224.4791394423261,224.46622416342967,224.46622416342967,224.46622416342967,215.5548331604453,233.0619702798102
5.25,225.61351879407974,225.46488778951277,225.45287274908245,225.45287274908245,225.45287274908245,216.25760809115744,234.31064464630398
5.5,225.49688009548535,226.29056355085507,226.2793095008844,226.2793095008844,226.2793095008844,216.80478987693195,235.39439541065235
5.75,225.24124944541356,226.98167488194764,226.97109692168587,226.97109692168587,226.97109692168587,217.22206618058345,236.3386033399254
6.0,224.87400319904077,227.55627322937008,227.546309260349,227.546309260349,227.546309260349,217.5274824643986,237.1613571912175
6.25,224.4181290179608,228.02722529402428,228.01781614738093,228.01781614738093,228.01781614738093,217.7337717521218,237.8756725459296
6.5,223.89278447170759,228.4033826941471,228.39446451739437,228.39446451739437,228.39446451739437,217.84954584619513,238.49064096283638
6.75,223.31382828401877,228.68965550828725,228.6811735177539,228.6811735177539,228.6811735177539,217.87934520258455,239.01152274961802
7.0,222.6943505008464,228.89041214964675,228.88232232327448,228.88232232327448,228.88232232327448,217.82718526406578,239.44301808155663
7.25,222.04512489284443,229.0103054176363,229.00257114337006,229.00257114337006,229.00257114337006,217.6974195860499,239.790061263042
7.5,221.3749920647987,229.05414445355558,229.046734123147,229.046734123147,229.046734123147,217.49460437103846,240.05769983940544
7.75,220.69118211606516,229.02679207884958,229.0196773828294,229.0196773828294,229.0196773828294,217.22338921523854,240.250998244965
8.0,219.9995853288299,228.93310618642863,228.92626099613906,228.92626099613906,228.92626099613906,216.88845393738308,240.37498365051405
8.25,219.30497862686892,228.77824763637457,228.77164830929848,228.77164830929848,228.77164830929848,216.49483255735518,240.434940595379
8.5,218.61121466675417,228.56771686444145,228.56134266654368,228.56134266654368,228.56134266654368,216.047952738755,240.43644587008777
8.75,217.92137952209507,228.3070156439902,228.3008484596235,228.3008484596235,228.3008484596235,215.55327871084532,240.38504700071303
9.0,217.23792406725548,228.00151203368034,227.99553607778273,227.99553607778273,227.99553607778273,215.01616736661265,240.2861351602747
9.25,216.56277339273842,227.65635311708192,227.65055467184783,227.65055467184783,227.65055467184783,214.44177423684025,240.1448639702607
9.5,215.89741790231645,227.2764090187973,227.27077619468935,227.27077619468935,227.27077619468935,213.83499215452713,239.96609827897063
9.75,215.24299277782214,226.86623997689324,226.8607624971189,226.8607624971189,226.8607624971189,213.20041410172743,239.75438496377615
10.0,214.6003510374253,226.43009471733617,226.42476355833702,226.42476355833702,226.42476355833702,212.54232920162792,239.51395342432662
10.25,213.97010689344197,225.97199838160188,225.9668044476538,225.9668044476538,225.9668044476538,211.86481424383584,239.24880060425437
10.5,213.3526762176507,225.49566120529042,225.49059527434136,225.49059527434136,225.49059527434136,211.17163447946797,238.9626063552458
10.75,212.74831247413243,225.00443037756776,224.99948369691234,224.99948369691234,224.99948369691234,210.46618991188095,238.6586899382537
11.0,212.15713665676225,224.50131503301228,224.49647973894483,224.49647973894483,224.49647973894483,209.75153951281962,238.34003561111115
11.25,211.57916222812563,223.98901202624663,223.98428142401957,223.98428142401957,223.98428142401957,209.03042647403163,238.00931877780036
